clf,dataset_name,dataset_type,auc,chebyshev_projection-fixed,max_n
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9767,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9767,3.0,3
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9767,5.0,5
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9884,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9767,0.25,4
RSIF,21_Lymphography,numerical,0.9884,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9767,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9767,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4514,2.0,2
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4335,2.0,2
RSIF,36_speech,numerical,0.3371,2.0,2
RSIF,36_speech,numerical,0.3611,2.0,2
RSIF,36_speech,numerical,0.4241,2.0,2
RSIF,36_speech,numerical,0.3181,2.0,2
RSIF,36_speech,numerical,0.4696,2.0,2
RSIF,36_speech,numerical,0.4409,2.0,2
RSIF,36_speech,numerical,0.4542,3.0,3
RSIF,36_speech,numerical,0.4551,3.0,3
RSIF,36_speech,numerical,0.4633,3.0,3
RSIF,36_speech,numerical,0.3891,3.0,3
RSIF,36_speech,numerical,0.3877,3.0,3
RSIF,36_speech,numerical,0.3177,3.0,3
RSIF,36_speech,numerical,0.3857,3.0,3
RSIF,36_speech,numerical,0.3662,3.0,3
RSIF,36_speech,numerical,0.4472,3.0,3
RSIF,36_speech,numerical,0.4575,3.0,3
RSIF,36_speech,numerical,0.4339,5.0,5
RSIF,36_speech,numerical,0.5546,5.0,5
RSIF,36_speech,numerical,0.3914,5.0,5
RSIF,36_speech,numerical,0.4759,5.0,5
RSIF,36_speech,numerical,0.4139,5.0,5
RSIF,36_speech,numerical,0.4041,5.0,5
RSIF,36_speech,numerical,0.4042,5.0,5
RSIF,36_speech,numerical,0.3563,5.0,5
RSIF,36_speech,numerical,0.456,5.0,5
RSIF,36_speech,numerical,0.5051,5.0,5
RSIF,36_speech,numerical,0.5051,0.25,100
RSIF,36_speech,numerical,0.445,0.25,100
RSIF,36_speech,numerical,0.481,0.25,100
RSIF,36_speech,numerical,0.4624,0.25,100
RSIF,36_speech,numerical,0.3699,0.25,100
RSIF,36_speech,numerical,0.4156,0.25,100
RSIF,36_speech,numerical,0.497,0.25,100
RSIF,36_speech,numerical,0.3213,0.25,100
RSIF,36_speech,numerical,0.4703,0.25,100
RSIF,36_speech,numerical,0.4913,0.25,100
RSIF,36_speech,numerical,0.5515,0.5,200
RSIF,36_speech,numerical,0.5193,0.5,200
RSIF,36_speech,numerical,0.4521,0.5,200
RSIF,36_speech,numerical,0.4288,0.5,200
RSIF,36_speech,numerical,0.4311,0.5,200
RSIF,36_speech,numerical,0.4491,0.5,200
RSIF,36_speech,numerical,0.5067,0.5,200
RSIF,36_speech,numerical,0.3488,0.5,200
RSIF,36_speech,numerical,0.5429,0.5,200
RSIF,36_speech,numerical,0.4244,0.5,200
RSIF,36_speech,numerical,0.5483,0.75,300
RSIF,36_speech,numerical,0.4585,0.75,300
RSIF,36_speech,numerical,0.4427,0.75,300
RSIF,36_speech,numerical,0.4408,0.75,300
RSIF,36_speech,numerical,0.3626,0.75,300
RSIF,36_speech,numerical,0.4216,0.75,300
RSIF,36_speech,numerical,0.4862,0.75,300
RSIF,36_speech,numerical,0.4499,0.75,300
RSIF,36_speech,numerical,0.4727,0.75,300
RSIF,36_speech,numerical,0.4822,0.75,300
RSIF,36_speech,numerical,0.4312,1.0,400
RSIF,36_speech,numerical,0.4419,1.0,400
RSIF,36_speech,numerical,0.4867,1.0,400
RSIF,36_speech,numerical,0.3921,1.0,400
RSIF,36_speech,numerical,0.4032,1.0,400
RSIF,36_speech,numerical,0.36,1.0,400
RSIF,36_speech,numerical,0.515,1.0,400
RSIF,36_speech,numerical,0.3843,1.0,400
RSIF,36_speech,numerical,0.4768,1.0,400
RSIF,36_speech,numerical,0.5205,1.0,400
RSIF,6_cardio,numerical,0.9642,2.0,2
RSIF,6_cardio,numerical,0.9264,2.0,2
RSIF,6_cardio,numerical,0.9311,2.0,2
RSIF,6_cardio,numerical,0.9361,2.0,2
RSIF,6_cardio,numerical,0.9453,2.0,2
RSIF,6_cardio,numerical,0.9725,2.0,2
RSIF,6_cardio,numerical,0.9427,2.0,2
RSIF,6_cardio,numerical,0.9415,2.0,2
RSIF,6_cardio,numerical,0.927,2.0,2
RSIF,6_cardio,numerical,0.9451,2.0,2
RSIF,6_cardio,numerical,0.9681,3.0,3
RSIF,6_cardio,numerical,0.9578,3.0,3
RSIF,6_cardio,numerical,0.9566,3.0,3
RSIF,6_cardio,numerical,0.9339,3.0,3
RSIF,6_cardio,numerical,0.9486,3.0,3
RSIF,6_cardio,numerical,0.9729,3.0,3
RSIF,6_cardio,numerical,0.9625,3.0,3
RSIF,6_cardio,numerical,0.9563,3.0,3
RSIF,6_cardio,numerical,0.9462,3.0,3
RSIF,6_cardio,numerical,0.9575,3.0,3
RSIF,6_cardio,numerical,0.9723,5.0,5
RSIF,6_cardio,numerical,0.9515,5.0,5
RSIF,6_cardio,numerical,0.9522,5.0,5
RSIF,6_cardio,numerical,0.9623,5.0,5
RSIF,6_cardio,numerical,0.9549,5.0,5
RSIF,6_cardio,numerical,0.977,5.0,5
RSIF,6_cardio,numerical,0.9646,5.0,5
RSIF,6_cardio,numerical,0.9604,5.0,5
RSIF,6_cardio,numerical,0.9581,5.0,5
RSIF,6_cardio,numerical,0.9688,5.0,5
RSIF,6_cardio,numerical,0.9723,0.25,5
RSIF,6_cardio,numerical,0.9515,0.25,5
RSIF,6_cardio,numerical,0.9522,0.25,5
RSIF,6_cardio,numerical,0.9623,0.25,5
RSIF,6_cardio,numerical,0.9549,0.25,5
RSIF,6_cardio,numerical,0.977,0.25,5
RSIF,6_cardio,numerical,0.9646,0.25,5
RSIF,6_cardio,numerical,0.9604,0.25,5
RSIF,6_cardio,numerical,0.9581,0.25,5
RSIF,6_cardio,numerical,0.9688,0.25,5
RSIF,6_cardio,numerical,0.9784,0.5,10
RSIF,6_cardio,numerical,0.9644,0.5,10
RSIF,6_cardio,numerical,0.9535,0.5,10
RSIF,6_cardio,numerical,0.964,0.5,10
RSIF,6_cardio,numerical,0.9659,0.5,10
RSIF,6_cardio,numerical,0.9754,0.5,10
RSIF,6_cardio,numerical,0.9585,0.5,10
RSIF,6_cardio,numerical,0.9645,0.5,10
RSIF,6_cardio,numerical,0.9603,0.5,10
RSIF,6_cardio,numerical,0.9616,0.5,10
RSIF,6_cardio,numerical,0.9632,0.75,15
RSIF,6_cardio,numerical,0.9581,0.75,15
RSIF,6_cardio,numerical,0.9551,0.75,15
RSIF,6_cardio,numerical,0.9593,0.75,15
RSIF,6_cardio,numerical,0.9596,0.75,15
RSIF,6_cardio,numerical,0.9649,0.75,15
RSIF,6_cardio,numerical,0.9606,0.75,15
RSIF,6_cardio,numerical,0.9685,0.75,15
RSIF,6_cardio,numerical,0.9576,0.75,15
RSIF,6_cardio,numerical,0.9746,0.75,15
RSIF,6_cardio,numerical,0.9613,1.0,21
RSIF,6_cardio,numerical,0.9511,1.0,21
RSIF,6_cardio,numerical,0.9456,1.0,21
RSIF,6_cardio,numerical,0.9423,1.0,21
RSIF,6_cardio,numerical,0.9429,1.0,21
RSIF,6_cardio,numerical,0.9645,1.0,21
RSIF,6_cardio,numerical,0.9495,1.0,21
RSIF,6_cardio,numerical,0.9558,1.0,21
RSIF,6_cardio,numerical,0.9593,1.0,21
RSIF,6_cardio,numerical,0.9632,1.0,21
RSIF,26_optdigits,numerical,0.6375,2.0,2
RSIF,26_optdigits,numerical,0.6463,2.0,2
RSIF,26_optdigits,numerical,0.6989,2.0,2
RSIF,26_optdigits,numerical,0.7037,2.0,2
RSIF,26_optdigits,numerical,0.6623,2.0,2
RSIF,26_optdigits,numerical,0.5564,2.0,2
RSIF,26_optdigits,numerical,0.6222,2.0,2
RSIF,26_optdigits,numerical,0.6651,2.0,2
RSIF,26_optdigits,numerical,0.7088,2.0,2
RSIF,26_optdigits,numerical,0.5846,2.0,2
RSIF,26_optdigits,numerical,0.5533,3.0,3
RSIF,26_optdigits,numerical,0.5814,3.0,3
RSIF,26_optdigits,numerical,0.5989,3.0,3
RSIF,26_optdigits,numerical,0.5642,3.0,3
RSIF,26_optdigits,numerical,0.6156,3.0,3
RSIF,26_optdigits,numerical,0.5167,3.0,3
RSIF,26_optdigits,numerical,0.5589,3.0,3
RSIF,26_optdigits,numerical,0.7322,3.0,3
RSIF,26_optdigits,numerical,0.6532,3.0,3
RSIF,26_optdigits,numerical,0.4759,3.0,3
RSIF,26_optdigits,numerical,0.5586,5.0,5
RSIF,26_optdigits,numerical,0.3877,5.0,5
RSIF,26_optdigits,numerical,0.5265,5.0,5
RSIF,26_optdigits,numerical,0.5246,5.0,5
RSIF,26_optdigits,numerical,0.5688,5.0,5
RSIF,26_optdigits,numerical,0.5425,5.0,5
RSIF,26_optdigits,numerical,0.5649,5.0,5
RSIF,26_optdigits,numerical,0.4824,5.0,5
RSIF,26_optdigits,numerical,0.5026,5.0,5
RSIF,26_optdigits,numerical,0.528,5.0,5
RSIF,26_optdigits,numerical,0.5709,0.25,16
RSIF,26_optdigits,numerical,0.4878,0.25,16
RSIF,26_optdigits,numerical,0.5112,0.25,16
RSIF,26_optdigits,numerical,0.4251,0.25,16
RSIF,26_optdigits,numerical,0.4553,0.25,16
RSIF,26_optdigits,numerical,0.4264,0.25,16
RSIF,26_optdigits,numerical,0.5123,0.25,16
RSIF,26_optdigits,numerical,0.392,0.25,16
RSIF,26_optdigits,numerical,0.4892,0.25,16
RSIF,26_optdigits,numerical,0.5435,0.25,16
RSIF,26_optdigits,numerical,0.5577,0.5,32
RSIF,26_optdigits,numerical,0.5339,0.5,32
RSIF,26_optdigits,numerical,0.4771,0.5,32
RSIF,26_optdigits,numerical,0.501,0.5,32
RSIF,26_optdigits,numerical,0.3273,0.5,32
RSIF,26_optdigits,numerical,0.4698,0.5,32
RSIF,26_optdigits,numerical,0.4464,0.5,32
RSIF,26_optdigits,numerical,0.4625,0.5,32
RSIF,26_optdigits,numerical,0.4412,0.5,32
RSIF,26_optdigits,numerical,0.4154,0.5,32
RSIF,26_optdigits,numerical,0.551,0.75,48
RSIF,26_optdigits,numerical,0.4765,0.75,48
RSIF,26_optdigits,numerical,0.5003,0.75,48
RSIF,26_optdigits,numerical,0.5887,0.75,48
RSIF,26_optdigits,numerical,0.3697,0.75,48
RSIF,26_optdigits,numerical,0.5902,0.75,48
RSIF,26_optdigits,numerical,0.46,0.75,48
RSIF,26_optdigits,numerical,0.6022,0.75,48
RSIF,26_optdigits,numerical,0.45,0.75,48
RSIF,26_optdigits,numerical,0.4224,0.75,48
RSIF,26_optdigits,numerical,0.5442,1.0,64
RSIF,26_optdigits,numerical,0.6124,1.0,64
RSIF,26_optdigits,numerical,0.4725,1.0,64
RSIF,26_optdigits,numerical,0.4917,1.0,64
RSIF,26_optdigits,numerical,0.5498,1.0,64
RSIF,26_optdigits,numerical,0.477,1.0,64
RSIF,26_optdigits,numerical,0.4729,1.0,64
RSIF,26_optdigits,numerical,0.4585,1.0,64
RSIF,26_optdigits,numerical,0.4814,1.0,64
RSIF,26_optdigits,numerical,0.4734,1.0,64
RSIF,TwoLeadECG,timeseries,0.8102,2.0,2
RSIF,TwoLeadECG,timeseries,0.6635,2.0,2
RSIF,TwoLeadECG,timeseries,0.6229,2.0,2
RSIF,TwoLeadECG,timeseries,0.7937,2.0,2
RSIF,TwoLeadECG,timeseries,0.6121,2.0,2
RSIF,TwoLeadECG,timeseries,0.8152,2.0,2
RSIF,TwoLeadECG,timeseries,0.706,2.0,2
RSIF,TwoLeadECG,timeseries,0.5638,2.0,2
RSIF,TwoLeadECG,timeseries,0.5467,2.0,2
RSIF,TwoLeadECG,timeseries,0.5803,2.0,2
RSIF,TwoLeadECG,timeseries,0.7371,3.0,3
RSIF,TwoLeadECG,timeseries,0.619,3.0,3
RSIF,TwoLeadECG,timeseries,0.6241,3.0,3
RSIF,TwoLeadECG,timeseries,0.6851,3.0,3
RSIF,TwoLeadECG,timeseries,0.5721,3.0,3
RSIF,TwoLeadECG,timeseries,0.7149,3.0,3
RSIF,TwoLeadECG,timeseries,0.5689,3.0,3
RSIF,TwoLeadECG,timeseries,0.5733,3.0,3
RSIF,TwoLeadECG,timeseries,0.5346,3.0,3
RSIF,TwoLeadECG,timeseries,0.5346,3.0,3
RSIF,TwoLeadECG,timeseries,0.7994,5.0,5
RSIF,TwoLeadECG,timeseries,0.6051,5.0,5
RSIF,TwoLeadECG,timeseries,0.6013,5.0,5
RSIF,TwoLeadECG,timeseries,0.6762,5.0,5
RSIF,TwoLeadECG,timeseries,0.5778,5.0,5
RSIF,TwoLeadECG,timeseries,0.7492,5.0,5
RSIF,TwoLeadECG,timeseries,0.4889,5.0,5
RSIF,TwoLeadECG,timeseries,0.6825,5.0,5
RSIF,TwoLeadECG,timeseries,0.579,5.0,5
RSIF,TwoLeadECG,timeseries,0.6337,5.0,5
RSIF,TwoLeadECG,timeseries,0.8248,0.25,20
RSIF,TwoLeadECG,timeseries,0.5987,0.25,20
RSIF,TwoLeadECG,timeseries,0.7225,0.25,20
RSIF,TwoLeadECG,timeseries,0.8197,0.25,20
RSIF,TwoLeadECG,timeseries,0.6349,0.25,20
RSIF,TwoLeadECG,timeseries,0.7289,0.25,20
RSIF,TwoLeadECG,timeseries,0.501,0.25,20
RSIF,TwoLeadECG,timeseries,0.7079,0.25,20
RSIF,TwoLeadECG,timeseries,0.6857,0.25,20
RSIF,TwoLeadECG,timeseries,0.6876,0.25,20
RSIF,TwoLeadECG,timeseries,0.8705,0.5,41
RSIF,TwoLeadECG,timeseries,0.6908,0.5,41
RSIF,TwoLeadECG,timeseries,0.7962,0.5,41
RSIF,TwoLeadECG,timeseries,0.7143,0.5,41
RSIF,TwoLeadECG,timeseries,0.687,0.5,41
RSIF,TwoLeadECG,timeseries,0.7759,0.5,41
RSIF,TwoLeadECG,timeseries,0.6095,0.5,41
RSIF,TwoLeadECG,timeseries,0.7232,0.5,41
RSIF,TwoLeadECG,timeseries,0.7035,0.5,41
RSIF,TwoLeadECG,timeseries,0.6698,0.5,41
RSIF,TwoLeadECG,timeseries,0.8241,0.75,61
RSIF,TwoLeadECG,timeseries,0.607,0.75,61
RSIF,TwoLeadECG,timeseries,0.687,0.75,61
RSIF,TwoLeadECG,timeseries,0.7219,0.75,61
RSIF,TwoLeadECG,timeseries,0.6286,0.75,61
RSIF,TwoLeadECG,timeseries,0.6248,0.75,61
RSIF,TwoLeadECG,timeseries,0.4933,0.75,61
RSIF,TwoLeadECG,timeseries,0.7524,0.75,61
RSIF,TwoLeadECG,timeseries,0.6838,0.75,61
RSIF,TwoLeadECG,timeseries,0.6317,0.75,61
RSIF,TwoLeadECG,timeseries,0.8635,1.0,82
RSIF,TwoLeadECG,timeseries,0.6013,1.0,82
RSIF,TwoLeadECG,timeseries,0.654,1.0,82
RSIF,TwoLeadECG,timeseries,0.6876,1.0,82
RSIF,TwoLeadECG,timeseries,0.6216,1.0,82
RSIF,TwoLeadECG,timeseries,0.6667,1.0,82
RSIF,TwoLeadECG,timeseries,0.4737,1.0,82
RSIF,TwoLeadECG,timeseries,0.7213,1.0,82
RSIF,TwoLeadECG,timeseries,0.6584,1.0,82
RSIF,TwoLeadECG,timeseries,0.5587,1.0,82
RSIF,agnews_1,nlp,0.6978,2.0,2
RSIF,agnews_1,nlp,0.7151,2.0,2
RSIF,agnews_1,nlp,0.7043,2.0,2
RSIF,agnews_1,nlp,0.7546,2.0,2
RSIF,agnews_1,nlp,0.7202,2.0,2
RSIF,agnews_1,nlp,0.703,2.0,2
RSIF,agnews_1,nlp,0.7076,2.0,2
RSIF,agnews_1,nlp,0.7061,2.0,2
RSIF,agnews_1,nlp,0.6946,2.0,2
RSIF,agnews_1,nlp,0.697,2.0,2
RSIF,agnews_1,nlp,0.6878,3.0,3
RSIF,agnews_1,nlp,0.7148,3.0,3
RSIF,agnews_1,nlp,0.7245,3.0,3
RSIF,agnews_1,nlp,0.727,3.0,3
RSIF,agnews_1,nlp,0.7074,3.0,3
RSIF,agnews_1,nlp,0.6977,3.0,3
RSIF,agnews_1,nlp,0.7101,3.0,3
RSIF,agnews_1,nlp,0.6834,3.0,3
RSIF,agnews_1,nlp,0.6946,3.0,3
RSIF,agnews_1,nlp,0.7138,3.0,3
RSIF,agnews_1,nlp,0.664,5.0,5
RSIF,agnews_1,nlp,0.6886,5.0,5
RSIF,agnews_1,nlp,0.6754,5.0,5
RSIF,agnews_1,nlp,0.7148,5.0,5
RSIF,agnews_1,nlp,0.685,5.0,5
RSIF,agnews_1,nlp,0.6954,5.0,5
RSIF,agnews_1,nlp,0.6994,5.0,5
RSIF,agnews_1,nlp,0.6934,5.0,5
RSIF,agnews_1,nlp,0.6891,5.0,5
RSIF,agnews_1,nlp,0.6984,5.0,5
RSIF,agnews_1,nlp,0.576,0.25,192
RSIF,agnews_1,nlp,0.6284,0.25,192
RSIF,agnews_1,nlp,0.6093,0.25,192
RSIF,agnews_1,nlp,0.648,0.25,192
RSIF,agnews_1,nlp,0.6185,0.25,192
RSIF,agnews_1,nlp,0.6295,0.25,192
RSIF,agnews_1,nlp,0.6117,0.25,192
RSIF,agnews_1,nlp,0.6092,0.25,192
RSIF,agnews_1,nlp,0.6481,0.25,192
RSIF,agnews_1,nlp,0.6154,0.25,192
RSIF,agnews_1,nlp,0.551,0.5,384
RSIF,agnews_1,nlp,0.6028,0.5,384
RSIF,agnews_1,nlp,0.5915,0.5,384
RSIF,agnews_1,nlp,0.5978,0.5,384
RSIF,agnews_1,nlp,0.6241,0.5,384
RSIF,agnews_1,nlp,0.6099,0.5,384
RSIF,agnews_1,nlp,0.6262,0.5,384
RSIF,agnews_1,nlp,0.6295,0.5,384
RSIF,agnews_1,nlp,0.6313,0.5,384
RSIF,agnews_1,nlp,0.6236,0.5,384
RSIF,agnews_1,nlp,0.5512,0.75,576
RSIF,agnews_1,nlp,0.6155,0.75,576
RSIF,agnews_1,nlp,0.5931,0.75,576
RSIF,agnews_1,nlp,0.6016,0.75,576
RSIF,agnews_1,nlp,0.6079,0.75,576
RSIF,agnews_1,nlp,0.5856,0.75,576
RSIF,agnews_1,nlp,0.5663,0.75,576
RSIF,agnews_1,nlp,0.6064,0.75,576
RSIF,agnews_1,nlp,0.6024,0.75,576
RSIF,agnews_1,nlp,0.5873,0.75,576
RSIF,agnews_1,nlp,0.514,1.0,768
RSIF,agnews_1,nlp,0.5955,1.0,768
RSIF,agnews_1,nlp,0.5883,1.0,768
RSIF,agnews_1,nlp,0.641,1.0,768
RSIF,agnews_1,nlp,0.5981,1.0,768
RSIF,agnews_1,nlp,0.5966,1.0,768
RSIF,agnews_1,nlp,0.5935,1.0,768
RSIF,agnews_1,nlp,0.6052,1.0,768
RSIF,agnews_1,nlp,0.5683,1.0,768
RSIF,agnews_1,nlp,0.6013,1.0,768
