clf,dataset_name,dataset_type,auc,chebyshev_projection-not_fixed-max_n,max_n
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,0.9651,2.0,2
RISF,21_Lymphography,numerical,0.907,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,0.9535,2.0,2
RISF,21_Lymphography,numerical,0.9767,2.0,2
RISF,21_Lymphography,numerical,1.0,2.0,2
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,0.8953,3.0,3
RISF,21_Lymphography,numerical,0.9535,3.0,3
RISF,21_Lymphography,numerical,1.0,3.0,3
RISF,21_Lymphography,numerical,0.9884,3.0,3
RISF,21_Lymphography,numerical,0.9419,3.0,3
RISF,21_Lymphography,numerical,0.907,3.0,3
RISF,21_Lymphography,numerical,0.9535,3.0,3
RISF,21_Lymphography,numerical,0.8953,3.0,3
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,0.5,5.0,5
RISF,21_Lymphography,numerical,0.7093,5.0,5
RISF,21_Lymphography,numerical,0.9884,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,1.0,5.0,5
RISF,21_Lymphography,numerical,0.9186,5.0,5
RISF,21_Lymphography,numerical,0.814,5.0,5
RISF,21_Lymphography,numerical,0.8837,5.0,5
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.9419,0.25,4
RISF,21_Lymphography,numerical,0.9186,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,0.9884,0.25,4
RISF,21_Lymphography,numerical,0.9186,0.25,4
RISF,21_Lymphography,numerical,0.9419,0.25,4
RISF,21_Lymphography,numerical,1.0,0.25,4
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.9535,0.5,9
RISF,21_Lymphography,numerical,0.8372,0.5,9
RISF,21_Lymphography,numerical,0.8256,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.9767,0.5,9
RISF,21_Lymphography,numerical,1.0,0.5,9
RISF,21_Lymphography,numerical,0.7674,0.5,9
RISF,21_Lymphography,numerical,0.593,0.5,9
RISF,21_Lymphography,numerical,0.9651,0.5,9
RISF,21_Lymphography,numerical,0.9884,0.75,13
RISF,21_Lymphography,numerical,0.8837,0.75,13
RISF,21_Lymphography,numerical,0.8605,0.75,13
RISF,21_Lymphography,numerical,0.8372,0.75,13
RISF,21_Lymphography,numerical,0.9767,0.75,13
RISF,21_Lymphography,numerical,1.0,0.75,13
RISF,21_Lymphography,numerical,0.9302,0.75,13
RISF,21_Lymphography,numerical,0.9186,0.75,13
RISF,21_Lymphography,numerical,0.7558,0.75,13
RISF,21_Lymphography,numerical,0.7907,0.75,13
RISF,21_Lymphography,numerical,0.9884,1.0,18
RISF,21_Lymphography,numerical,0.8256,1.0,18
RISF,21_Lymphography,numerical,0.8605,1.0,18
RISF,21_Lymphography,numerical,0.8721,1.0,18
RISF,21_Lymphography,numerical,0.8953,1.0,18
RISF,21_Lymphography,numerical,0.9651,1.0,18
RISF,21_Lymphography,numerical,0.9651,1.0,18
RISF,21_Lymphography,numerical,0.8953,1.0,18
RISF,21_Lymphography,numerical,0.5,1.0,18
RISF,21_Lymphography,numerical,0.8953,1.0,18
RISF,36_speech,numerical,0.4373,2.0,2
RISF,36_speech,numerical,0.4336,2.0,2
RISF,36_speech,numerical,0.413,2.0,2
RISF,36_speech,numerical,0.3688,2.0,2
RISF,36_speech,numerical,0.4308,2.0,2
RISF,36_speech,numerical,0.3375,2.0,2
RISF,36_speech,numerical,0.4132,2.0,2
RISF,36_speech,numerical,0.3288,2.0,2
RISF,36_speech,numerical,0.4856,2.0,2
RISF,36_speech,numerical,0.5064,2.0,2
RISF,36_speech,numerical,0.465,3.0,3
RISF,36_speech,numerical,0.5377,3.0,3
RISF,36_speech,numerical,0.3965,3.0,3
RISF,36_speech,numerical,0.4487,3.0,3
RISF,36_speech,numerical,0.3537,3.0,3
RISF,36_speech,numerical,0.319,3.0,3
RISF,36_speech,numerical,0.4132,3.0,3
RISF,36_speech,numerical,0.3759,3.0,3
RISF,36_speech,numerical,0.5013,3.0,3
RISF,36_speech,numerical,0.5196,3.0,3
RISF,36_speech,numerical,0.4602,5.0,5
RISF,36_speech,numerical,0.486,5.0,5
RISF,36_speech,numerical,0.4105,5.0,5
RISF,36_speech,numerical,0.4849,5.0,5
RISF,36_speech,numerical,0.3201,5.0,5
RISF,36_speech,numerical,0.3549,5.0,5
RISF,36_speech,numerical,0.4158,5.0,5
RISF,36_speech,numerical,0.3754,5.0,5
RISF,36_speech,numerical,0.4601,5.0,5
RISF,36_speech,numerical,0.4389,5.0,5
RISF,36_speech,numerical,0.4989,0.25,100
RISF,36_speech,numerical,0.523,0.25,100
RISF,36_speech,numerical,0.3701,0.25,100
RISF,36_speech,numerical,0.4391,0.25,100
RISF,36_speech,numerical,0.4313,0.25,100
RISF,36_speech,numerical,0.3243,0.25,100
RISF,36_speech,numerical,0.4554,0.25,100
RISF,36_speech,numerical,0.353,0.25,100
RISF,36_speech,numerical,0.4395,0.25,100
RISF,36_speech,numerical,0.4794,0.25,100
RISF,36_speech,numerical,0.4088,0.5,200
RISF,36_speech,numerical,0.5174,0.5,200
RISF,36_speech,numerical,0.4188,0.5,200
RISF,36_speech,numerical,0.4984,0.5,200
RISF,36_speech,numerical,0.4594,0.5,200
RISF,36_speech,numerical,0.4209,0.5,200
RISF,36_speech,numerical,0.4492,0.5,200
RISF,36_speech,numerical,0.4158,0.5,200
RISF,36_speech,numerical,0.4939,0.5,200
RISF,36_speech,numerical,0.4657,0.5,200
RISF,36_speech,numerical,0.5018,0.75,300
RISF,36_speech,numerical,0.4756,0.75,300
RISF,36_speech,numerical,0.4223,0.75,300
RISF,36_speech,numerical,0.4861,0.75,300
RISF,36_speech,numerical,0.4256,0.75,300
RISF,36_speech,numerical,0.3804,0.75,300
RISF,36_speech,numerical,0.5328,0.75,300
RISF,36_speech,numerical,0.4739,0.75,300
RISF,36_speech,numerical,0.3925,0.75,300
RISF,36_speech,numerical,0.5523,0.75,300
RISF,36_speech,numerical,0.4048,1.0,400
RISF,36_speech,numerical,0.4883,1.0,400
RISF,36_speech,numerical,0.4226,1.0,400
RISF,36_speech,numerical,0.5208,1.0,400
RISF,36_speech,numerical,0.4995,1.0,400
RISF,36_speech,numerical,0.4139,1.0,400
RISF,36_speech,numerical,0.5858,1.0,400
RISF,36_speech,numerical,0.4929,1.0,400
RISF,36_speech,numerical,0.5643,1.0,400
RISF,36_speech,numerical,0.5168,1.0,400
RISF,6_cardio,numerical,0.9333,2.0,2
RISF,6_cardio,numerical,0.9387,2.0,2
RISF,6_cardio,numerical,0.8952,2.0,2
RISF,6_cardio,numerical,0.9048,2.0,2
RISF,6_cardio,numerical,0.9313,2.0,2
RISF,6_cardio,numerical,0.9586,2.0,2
RISF,6_cardio,numerical,0.9086,2.0,2
RISF,6_cardio,numerical,0.8974,2.0,2
RISF,6_cardio,numerical,0.8808,2.0,2
RISF,6_cardio,numerical,0.9353,2.0,2
RISF,6_cardio,numerical,0.9552,3.0,3
RISF,6_cardio,numerical,0.9246,3.0,3
RISF,6_cardio,numerical,0.8915,3.0,3
RISF,6_cardio,numerical,0.9445,3.0,3
RISF,6_cardio,numerical,0.9604,3.0,3
RISF,6_cardio,numerical,0.9186,3.0,3
RISF,6_cardio,numerical,0.9034,3.0,3
RISF,6_cardio,numerical,0.9148,3.0,3
RISF,6_cardio,numerical,0.8696,3.0,3
RISF,6_cardio,numerical,0.9268,3.0,3
RISF,6_cardio,numerical,0.9426,5.0,5
RISF,6_cardio,numerical,0.944,5.0,5
RISF,6_cardio,numerical,0.9335,5.0,5
RISF,6_cardio,numerical,0.9217,5.0,5
RISF,6_cardio,numerical,0.9421,5.0,5
RISF,6_cardio,numerical,0.9247,5.0,5
RISF,6_cardio,numerical,0.9073,5.0,5
RISF,6_cardio,numerical,0.9211,5.0,5
RISF,6_cardio,numerical,0.8811,5.0,5
RISF,6_cardio,numerical,0.9499,5.0,5
RISF,6_cardio,numerical,0.9426,0.25,5
RISF,6_cardio,numerical,0.944,0.25,5
RISF,6_cardio,numerical,0.9335,0.25,5
RISF,6_cardio,numerical,0.9217,0.25,5
RISF,6_cardio,numerical,0.9421,0.25,5
RISF,6_cardio,numerical,0.9247,0.25,5
RISF,6_cardio,numerical,0.9073,0.25,5
RISF,6_cardio,numerical,0.9211,0.25,5
RISF,6_cardio,numerical,0.8811,0.25,5
RISF,6_cardio,numerical,0.9499,0.25,5
RISF,6_cardio,numerical,0.9465,0.5,10
RISF,6_cardio,numerical,0.9244,0.5,10
RISF,6_cardio,numerical,0.9213,0.5,10
RISF,6_cardio,numerical,0.9234,0.5,10
RISF,6_cardio,numerical,0.9143,0.5,10
RISF,6_cardio,numerical,0.8913,0.5,10
RISF,6_cardio,numerical,0.897,0.5,10
RISF,6_cardio,numerical,0.9241,0.5,10
RISF,6_cardio,numerical,0.8929,0.5,10
RISF,6_cardio,numerical,0.9351,0.5,10
RISF,6_cardio,numerical,0.9315,0.75,15
RISF,6_cardio,numerical,0.8806,0.75,15
RISF,6_cardio,numerical,0.8866,0.75,15
RISF,6_cardio,numerical,0.9298,0.75,15
RISF,6_cardio,numerical,0.9226,0.75,15
RISF,6_cardio,numerical,0.9208,0.75,15
RISF,6_cardio,numerical,0.9001,0.75,15
RISF,6_cardio,numerical,0.9424,0.75,15
RISF,6_cardio,numerical,0.9003,0.75,15
RISF,6_cardio,numerical,0.918,0.75,15
RISF,6_cardio,numerical,0.9234,1.0,21
RISF,6_cardio,numerical,0.8685,1.0,21
RISF,6_cardio,numerical,0.8575,1.0,21
RISF,6_cardio,numerical,0.919,1.0,21
RISF,6_cardio,numerical,0.9497,1.0,21
RISF,6_cardio,numerical,0.9333,1.0,21
RISF,6_cardio,numerical,0.9156,1.0,21
RISF,6_cardio,numerical,0.9286,1.0,21
RISF,6_cardio,numerical,0.9019,1.0,21
RISF,6_cardio,numerical,0.8715,1.0,21
RISF,26_optdigits,numerical,0.7016,2.0,2
RISF,26_optdigits,numerical,0.4858,2.0,2
RISF,26_optdigits,numerical,0.6717,2.0,2
RISF,26_optdigits,numerical,0.7383,2.0,2
RISF,26_optdigits,numerical,0.6675,2.0,2
RISF,26_optdigits,numerical,0.7402,2.0,2
RISF,26_optdigits,numerical,0.6111,2.0,2
RISF,26_optdigits,numerical,0.7719,2.0,2
RISF,26_optdigits,numerical,0.4789,2.0,2
RISF,26_optdigits,numerical,0.4286,2.0,2
RISF,26_optdigits,numerical,0.5636,3.0,3
RISF,26_optdigits,numerical,0.7221,3.0,3
RISF,26_optdigits,numerical,0.6607,3.0,3
RISF,26_optdigits,numerical,0.7155,3.0,3
RISF,26_optdigits,numerical,0.7581,3.0,3
RISF,26_optdigits,numerical,0.6146,3.0,3
RISF,26_optdigits,numerical,0.4459,3.0,3
RISF,26_optdigits,numerical,0.5529,3.0,3
RISF,26_optdigits,numerical,0.6615,3.0,3
RISF,26_optdigits,numerical,0.4837,3.0,3
RISF,26_optdigits,numerical,0.4191,5.0,5
RISF,26_optdigits,numerical,0.5941,5.0,5
RISF,26_optdigits,numerical,0.4336,5.0,5
RISF,26_optdigits,numerical,0.4607,5.0,5
RISF,26_optdigits,numerical,0.6957,5.0,5
RISF,26_optdigits,numerical,0.4586,5.0,5
RISF,26_optdigits,numerical,0.345,5.0,5
RISF,26_optdigits,numerical,0.4895,5.0,5
RISF,26_optdigits,numerical,0.5725,5.0,5
RISF,26_optdigits,numerical,0.5317,5.0,5
RISF,26_optdigits,numerical,0.2621,0.25,16
RISF,26_optdigits,numerical,0.2054,0.25,16
RISF,26_optdigits,numerical,0.3316,0.25,16
RISF,26_optdigits,numerical,0.5593,0.25,16
RISF,26_optdigits,numerical,0.449,0.25,16
RISF,26_optdigits,numerical,0.3909,0.25,16
RISF,26_optdigits,numerical,0.4668,0.25,16
RISF,26_optdigits,numerical,0.3633,0.25,16
RISF,26_optdigits,numerical,0.5713,0.25,16
RISF,26_optdigits,numerical,0.3478,0.25,16
RISF,26_optdigits,numerical,0.3863,0.5,32
RISF,26_optdigits,numerical,0.2377,0.5,32
RISF,26_optdigits,numerical,0.3201,0.5,32
RISF,26_optdigits,numerical,0.4582,0.5,32
RISF,26_optdigits,numerical,0.2742,0.5,32
RISF,26_optdigits,numerical,0.4215,0.5,32
RISF,26_optdigits,numerical,0.376,0.5,32
RISF,26_optdigits,numerical,0.2619,0.5,32
RISF,26_optdigits,numerical,0.4336,0.5,32
RISF,26_optdigits,numerical,0.1952,0.5,32
RISF,26_optdigits,numerical,0.2519,0.75,48
RISF,26_optdigits,numerical,0.1693,0.75,48
RISF,26_optdigits,numerical,0.2867,0.75,48
RISF,26_optdigits,numerical,0.3259,0.75,48
RISF,26_optdigits,numerical,0.4069,0.75,48
RISF,26_optdigits,numerical,0.2437,0.75,48
RISF,26_optdigits,numerical,0.2517,0.75,48
RISF,26_optdigits,numerical,0.2989,0.75,48
RISF,26_optdigits,numerical,0.3362,0.75,48
RISF,26_optdigits,numerical,0.3044,0.75,48
RISF,26_optdigits,numerical,0.1943,1.0,64
RISF,26_optdigits,numerical,0.4212,1.0,64
RISF,26_optdigits,numerical,0.2657,1.0,64
RISF,26_optdigits,numerical,0.3365,1.0,64
RISF,26_optdigits,numerical,0.2737,1.0,64
RISF,26_optdigits,numerical,0.2436,1.0,64
RISF,26_optdigits,numerical,0.205,1.0,64
RISF,26_optdigits,numerical,0.3528,1.0,64
RISF,26_optdigits,numerical,0.2899,1.0,64
RISF,26_optdigits,numerical,0.2719,1.0,64
RISF,TwoLeadECG,timeseries,0.873,2.0,2
RISF,TwoLeadECG,timeseries,0.9029,2.0,2
RISF,TwoLeadECG,timeseries,0.7873,2.0,2
RISF,TwoLeadECG,timeseries,0.8971,2.0,2
RISF,TwoLeadECG,timeseries,0.7689,2.0,2
RISF,TwoLeadECG,timeseries,0.8571,2.0,2
RISF,TwoLeadECG,timeseries,0.8394,2.0,2
RISF,TwoLeadECG,timeseries,0.7663,2.0,2
RISF,TwoLeadECG,timeseries,0.6902,2.0,2
RISF,TwoLeadECG,timeseries,0.7613,2.0,2
RISF,TwoLeadECG,timeseries,0.8902,3.0,3
RISF,TwoLeadECG,timeseries,0.8559,3.0,3
RISF,TwoLeadECG,timeseries,0.8362,3.0,3
RISF,TwoLeadECG,timeseries,0.8698,3.0,3
RISF,TwoLeadECG,timeseries,0.694,3.0,3
RISF,TwoLeadECG,timeseries,0.9238,3.0,3
RISF,TwoLeadECG,timeseries,0.807,3.0,3
RISF,TwoLeadECG,timeseries,0.84,3.0,3
RISF,TwoLeadECG,timeseries,0.7314,3.0,3
RISF,TwoLeadECG,timeseries,0.7168,3.0,3
RISF,TwoLeadECG,timeseries,0.8921,5.0,5
RISF,TwoLeadECG,timeseries,0.84,5.0,5
RISF,TwoLeadECG,timeseries,0.7721,5.0,5
RISF,TwoLeadECG,timeseries,0.8946,5.0,5
RISF,TwoLeadECG,timeseries,0.7194,5.0,5
RISF,TwoLeadECG,timeseries,0.8533,5.0,5
RISF,TwoLeadECG,timeseries,0.793,5.0,5
RISF,TwoLeadECG,timeseries,0.7537,5.0,5
RISF,TwoLeadECG,timeseries,0.6673,5.0,5
RISF,TwoLeadECG,timeseries,0.6965,5.0,5
RISF,TwoLeadECG,timeseries,0.8432,0.25,20
RISF,TwoLeadECG,timeseries,0.807,0.25,20
RISF,TwoLeadECG,timeseries,0.7308,0.25,20
RISF,TwoLeadECG,timeseries,0.8635,0.25,20
RISF,TwoLeadECG,timeseries,0.7517,0.25,20
RISF,TwoLeadECG,timeseries,0.8235,0.25,20
RISF,TwoLeadECG,timeseries,0.734,0.25,20
RISF,TwoLeadECG,timeseries,0.7657,0.25,20
RISF,TwoLeadECG,timeseries,0.7829,0.25,20
RISF,TwoLeadECG,timeseries,0.7073,0.25,20
RISF,TwoLeadECG,timeseries,0.8146,0.5,41
RISF,TwoLeadECG,timeseries,0.741,0.5,41
RISF,TwoLeadECG,timeseries,0.741,0.5,41
RISF,TwoLeadECG,timeseries,0.8502,0.5,41
RISF,TwoLeadECG,timeseries,0.7575,0.5,41
RISF,TwoLeadECG,timeseries,0.8413,0.5,41
RISF,TwoLeadECG,timeseries,0.7162,0.5,41
RISF,TwoLeadECG,timeseries,0.687,0.5,41
RISF,TwoLeadECG,timeseries,0.6616,0.5,41
RISF,TwoLeadECG,timeseries,0.6616,0.5,41
RISF,TwoLeadECG,timeseries,0.7943,0.75,61
RISF,TwoLeadECG,timeseries,0.6362,0.75,61
RISF,TwoLeadECG,timeseries,0.673,0.75,61
RISF,TwoLeadECG,timeseries,0.753,0.75,61
RISF,TwoLeadECG,timeseries,0.6121,0.75,61
RISF,TwoLeadECG,timeseries,0.7676,0.75,61
RISF,TwoLeadECG,timeseries,0.6603,0.75,61
RISF,TwoLeadECG,timeseries,0.7797,0.75,61
RISF,TwoLeadECG,timeseries,0.6527,0.75,61
RISF,TwoLeadECG,timeseries,0.64,0.75,61
RISF,TwoLeadECG,timeseries,0.8089,1.0,82
RISF,TwoLeadECG,timeseries,0.5816,1.0,82
RISF,TwoLeadECG,timeseries,0.6813,1.0,82
RISF,TwoLeadECG,timeseries,0.7816,1.0,82
RISF,TwoLeadECG,timeseries,0.6705,1.0,82
RISF,TwoLeadECG,timeseries,0.7479,1.0,82
RISF,TwoLeadECG,timeseries,0.6565,1.0,82
RISF,TwoLeadECG,timeseries,0.6438,1.0,82
RISF,TwoLeadECG,timeseries,0.6387,1.0,82
RISF,TwoLeadECG,timeseries,0.6514,1.0,82
RISF,agnews_1,nlp,0.7054,2.0,2
RISF,agnews_1,nlp,0.7351,2.0,2
RISF,agnews_1,nlp,0.7145,2.0,2
RISF,agnews_1,nlp,0.6804,2.0,2
RISF,agnews_1,nlp,0.6933,2.0,2
RISF,agnews_1,nlp,0.6733,2.0,2
RISF,agnews_1,nlp,0.711,2.0,2
RISF,agnews_1,nlp,0.7582,2.0,2
RISF,agnews_1,nlp,0.7093,2.0,2
RISF,agnews_1,nlp,0.7262,2.0,2
RISF,agnews_1,nlp,0.752,3.0,3
RISF,agnews_1,nlp,0.7688,3.0,3
RISF,agnews_1,nlp,0.777,3.0,3
RISF,agnews_1,nlp,0.6985,3.0,3
RISF,agnews_1,nlp,0.7078,3.0,3
RISF,agnews_1,nlp,0.69,3.0,3
RISF,agnews_1,nlp,0.6758,3.0,3
RISF,agnews_1,nlp,0.6763,3.0,3
RISF,agnews_1,nlp,0.6678,3.0,3
RISF,agnews_1,nlp,0.7169,3.0,3
RISF,agnews_1,nlp,0.684,5.0,5
RISF,agnews_1,nlp,0.7393,5.0,5
RISF,agnews_1,nlp,0.7066,5.0,5
RISF,agnews_1,nlp,0.7525,5.0,5
RISF,agnews_1,nlp,0.7021,5.0,5
RISF,agnews_1,nlp,0.663,5.0,5
RISF,agnews_1,nlp,0.7425,5.0,5
RISF,agnews_1,nlp,0.6982,5.0,5
RISF,agnews_1,nlp,0.7133,5.0,5
RISF,agnews_1,nlp,0.6561,5.0,5
RISF,agnews_1,nlp,0.6511,0.25,192
RISF,agnews_1,nlp,0.5604,0.25,192
RISF,agnews_1,nlp,0.606,0.25,192
RISF,agnews_1,nlp,0.667,0.25,192
RISF,agnews_1,nlp,0.6815,0.25,192
RISF,agnews_1,nlp,0.6797,0.25,192
RISF,agnews_1,nlp,0.6315,0.25,192
RISF,agnews_1,nlp,0.6202,0.25,192
RISF,agnews_1,nlp,0.6236,0.25,192
RISF,agnews_1,nlp,0.6406,0.25,192
RISF,agnews_1,nlp,0.6214,0.5,384
RISF,agnews_1,nlp,0.6408,0.5,384
RISF,agnews_1,nlp,0.5601,0.5,384
RISF,agnews_1,nlp,0.5834,0.5,384
RISF,agnews_1,nlp,0.6646,0.5,384
RISF,agnews_1,nlp,0.693,0.5,384
RISF,agnews_1,nlp,0.6254,0.5,384
RISF,agnews_1,nlp,0.5817,0.5,384
RISF,agnews_1,nlp,0.6395,0.5,384
RISF,agnews_1,nlp,0.5905,0.5,384
RISF,agnews_1,nlp,0.6048,0.75,576
RISF,agnews_1,nlp,0.6195,0.75,576
RISF,agnews_1,nlp,0.588,0.75,576
RISF,agnews_1,nlp,0.6839,0.75,576
RISF,agnews_1,nlp,0.6814,0.75,576
RISF,agnews_1,nlp,0.6267,0.75,576
RISF,agnews_1,nlp,0.5912,0.75,576
RISF,agnews_1,nlp,0.6283,0.75,576
RISF,agnews_1,nlp,0.6025,0.75,576
RISF,agnews_1,nlp,0.626,0.75,576
RISF,agnews_1,nlp,0.613,1.0,768
RISF,agnews_1,nlp,0.6064,1.0,768
RISF,agnews_1,nlp,0.5689,1.0,768
RISF,agnews_1,nlp,0.663,1.0,768
RISF,agnews_1,nlp,0.6293,1.0,768
RISF,agnews_1,nlp,0.6243,1.0,768
RISF,agnews_1,nlp,0.584,1.0,768
RISF,agnews_1,nlp,0.6223,1.0,768
RISF,agnews_1,nlp,0.6012,1.0,768
RISF,agnews_1,nlp,0.6176,1.0,768
