clf,dataset_name,dataset_type,auc,chebyshev_projection-not_fixed,max_n
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9767,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9767,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9767,0.25,4
RSIF,21_Lymphography,numerical,0.9884,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4514,2.0,2
RSIF,36_speech,numerical,0.3825,2.0,2
RSIF,36_speech,numerical,0.4335,2.0,2
RSIF,36_speech,numerical,0.3371,2.0,2
RSIF,36_speech,numerical,0.3611,2.0,2
RSIF,36_speech,numerical,0.4241,2.0,2
RSIF,36_speech,numerical,0.3181,2.0,2
RSIF,36_speech,numerical,0.4696,2.0,2
RSIF,36_speech,numerical,0.4409,2.0,2
RSIF,36_speech,numerical,0.4626,3.0,3
RSIF,36_speech,numerical,0.5096,3.0,3
RSIF,36_speech,numerical,0.454,3.0,3
RSIF,36_speech,numerical,0.4672,3.0,3
RSIF,36_speech,numerical,0.4279,3.0,3
RSIF,36_speech,numerical,0.3679,3.0,3
RSIF,36_speech,numerical,0.4286,3.0,3
RSIF,36_speech,numerical,0.346,3.0,3
RSIF,36_speech,numerical,0.5484,3.0,3
RSIF,36_speech,numerical,0.5054,3.0,3
RSIF,36_speech,numerical,0.4762,5.0,5
RSIF,36_speech,numerical,0.5437,5.0,5
RSIF,36_speech,numerical,0.391,5.0,5
RSIF,36_speech,numerical,0.5205,5.0,5
RSIF,36_speech,numerical,0.3637,5.0,5
RSIF,36_speech,numerical,0.3069,5.0,5
RSIF,36_speech,numerical,0.4478,5.0,5
RSIF,36_speech,numerical,0.3251,5.0,5
RSIF,36_speech,numerical,0.5104,5.0,5
RSIF,36_speech,numerical,0.5045,5.0,5
RSIF,36_speech,numerical,0.4223,0.25,100
RSIF,36_speech,numerical,0.5084,0.25,100
RSIF,36_speech,numerical,0.4282,0.25,100
RSIF,36_speech,numerical,0.3692,0.25,100
RSIF,36_speech,numerical,0.5114,0.25,100
RSIF,36_speech,numerical,0.3964,0.25,100
RSIF,36_speech,numerical,0.4067,0.25,100
RSIF,36_speech,numerical,0.4131,0.25,100
RSIF,36_speech,numerical,0.6001,0.25,100
RSIF,36_speech,numerical,0.4585,0.25,100
RSIF,36_speech,numerical,0.471,0.5,200
RSIF,36_speech,numerical,0.4585,0.5,200
RSIF,36_speech,numerical,0.4645,0.5,200
RSIF,36_speech,numerical,0.3723,0.5,200
RSIF,36_speech,numerical,0.4534,0.5,200
RSIF,36_speech,numerical,0.4753,0.5,200
RSIF,36_speech,numerical,0.4735,0.5,200
RSIF,36_speech,numerical,0.4387,0.5,200
RSIF,36_speech,numerical,0.4815,0.5,200
RSIF,36_speech,numerical,0.4159,0.5,200
RSIF,36_speech,numerical,0.5393,0.75,300
RSIF,36_speech,numerical,0.5855,0.75,300
RSIF,36_speech,numerical,0.4696,0.75,300
RSIF,36_speech,numerical,0.4046,0.75,300
RSIF,36_speech,numerical,0.3449,0.75,300
RSIF,36_speech,numerical,0.4436,0.75,300
RSIF,36_speech,numerical,0.5222,0.75,300
RSIF,36_speech,numerical,0.3827,0.75,300
RSIF,36_speech,numerical,0.4597,0.75,300
RSIF,36_speech,numerical,0.4775,0.75,300
RSIF,36_speech,numerical,0.5606,1.0,400
RSIF,36_speech,numerical,0.474,1.0,400
RSIF,36_speech,numerical,0.4914,1.0,400
RSIF,36_speech,numerical,0.4141,1.0,400
RSIF,36_speech,numerical,0.3767,1.0,400
RSIF,36_speech,numerical,0.3714,1.0,400
RSIF,36_speech,numerical,0.5279,1.0,400
RSIF,36_speech,numerical,0.4072,1.0,400
RSIF,36_speech,numerical,0.4767,1.0,400
RSIF,36_speech,numerical,0.4801,1.0,400
RSIF,6_cardio,numerical,0.9642,2.0,2
RSIF,6_cardio,numerical,0.9264,2.0,2
RSIF,6_cardio,numerical,0.9311,2.0,2
RSIF,6_cardio,numerical,0.9361,2.0,2
RSIF,6_cardio,numerical,0.9453,2.0,2
RSIF,6_cardio,numerical,0.9725,2.0,2
RSIF,6_cardio,numerical,0.9427,2.0,2
RSIF,6_cardio,numerical,0.9415,2.0,2
RSIF,6_cardio,numerical,0.927,2.0,2
RSIF,6_cardio,numerical,0.9451,2.0,2
RSIF,6_cardio,numerical,0.971,3.0,3
RSIF,6_cardio,numerical,0.9591,3.0,3
RSIF,6_cardio,numerical,0.9343,3.0,3
RSIF,6_cardio,numerical,0.9625,3.0,3
RSIF,6_cardio,numerical,0.9429,3.0,3
RSIF,6_cardio,numerical,0.9788,3.0,3
RSIF,6_cardio,numerical,0.9541,3.0,3
RSIF,6_cardio,numerical,0.9457,3.0,3
RSIF,6_cardio,numerical,0.9453,3.0,3
RSIF,6_cardio,numerical,0.9542,3.0,3
RSIF,6_cardio,numerical,0.9667,5.0,5
RSIF,6_cardio,numerical,0.9557,5.0,5
RSIF,6_cardio,numerical,0.9503,5.0,5
RSIF,6_cardio,numerical,0.9658,5.0,5
RSIF,6_cardio,numerical,0.9482,5.0,5
RSIF,6_cardio,numerical,0.979,5.0,5
RSIF,6_cardio,numerical,0.9588,5.0,5
RSIF,6_cardio,numerical,0.9507,5.0,5
RSIF,6_cardio,numerical,0.9582,5.0,5
RSIF,6_cardio,numerical,0.9607,5.0,5
RSIF,6_cardio,numerical,0.9667,0.25,5
RSIF,6_cardio,numerical,0.9557,0.25,5
RSIF,6_cardio,numerical,0.9503,0.25,5
RSIF,6_cardio,numerical,0.9658,0.25,5
RSIF,6_cardio,numerical,0.9482,0.25,5
RSIF,6_cardio,numerical,0.979,0.25,5
RSIF,6_cardio,numerical,0.9588,0.25,5
RSIF,6_cardio,numerical,0.9507,0.25,5
RSIF,6_cardio,numerical,0.9582,0.25,5
RSIF,6_cardio,numerical,0.9607,0.25,5
RSIF,6_cardio,numerical,0.9719,0.5,10
RSIF,6_cardio,numerical,0.9526,0.5,10
RSIF,6_cardio,numerical,0.9563,0.5,10
RSIF,6_cardio,numerical,0.9584,0.5,10
RSIF,6_cardio,numerical,0.9582,0.5,10
RSIF,6_cardio,numerical,0.9763,0.5,10
RSIF,6_cardio,numerical,0.9604,0.5,10
RSIF,6_cardio,numerical,0.9648,0.5,10
RSIF,6_cardio,numerical,0.9682,0.5,10
RSIF,6_cardio,numerical,0.9651,0.5,10
RSIF,6_cardio,numerical,0.9687,0.75,15
RSIF,6_cardio,numerical,0.9557,0.75,15
RSIF,6_cardio,numerical,0.9603,0.75,15
RSIF,6_cardio,numerical,0.9659,0.75,15
RSIF,6_cardio,numerical,0.9622,0.75,15
RSIF,6_cardio,numerical,0.9748,0.75,15
RSIF,6_cardio,numerical,0.9639,0.75,15
RSIF,6_cardio,numerical,0.9611,0.75,15
RSIF,6_cardio,numerical,0.9615,0.75,15
RSIF,6_cardio,numerical,0.9711,0.75,15
RSIF,6_cardio,numerical,0.9671,1.0,21
RSIF,6_cardio,numerical,0.962,1.0,21
RSIF,6_cardio,numerical,0.9614,1.0,21
RSIF,6_cardio,numerical,0.9559,1.0,21
RSIF,6_cardio,numerical,0.9592,1.0,21
RSIF,6_cardio,numerical,0.9785,1.0,21
RSIF,6_cardio,numerical,0.9503,1.0,21
RSIF,6_cardio,numerical,0.9626,1.0,21
RSIF,6_cardio,numerical,0.9608,1.0,21
RSIF,6_cardio,numerical,0.9685,1.0,21
RSIF,26_optdigits,numerical,0.6375,2.0,2
RSIF,26_optdigits,numerical,0.6463,2.0,2
RSIF,26_optdigits,numerical,0.6989,2.0,2
RSIF,26_optdigits,numerical,0.7037,2.0,2
RSIF,26_optdigits,numerical,0.6623,2.0,2
RSIF,26_optdigits,numerical,0.5564,2.0,2
RSIF,26_optdigits,numerical,0.6222,2.0,2
RSIF,26_optdigits,numerical,0.6651,2.0,2
RSIF,26_optdigits,numerical,0.7088,2.0,2
RSIF,26_optdigits,numerical,0.5846,2.0,2
RSIF,26_optdigits,numerical,0.5236,3.0,3
RSIF,26_optdigits,numerical,0.4838,3.0,3
RSIF,26_optdigits,numerical,0.5466,3.0,3
RSIF,26_optdigits,numerical,0.6692,3.0,3
RSIF,26_optdigits,numerical,0.4657,3.0,3
RSIF,26_optdigits,numerical,0.4182,3.0,3
RSIF,26_optdigits,numerical,0.554,3.0,3
RSIF,26_optdigits,numerical,0.6236,3.0,3
RSIF,26_optdigits,numerical,0.6264,3.0,3
RSIF,26_optdigits,numerical,0.4779,3.0,3
RSIF,26_optdigits,numerical,0.4682,5.0,5
RSIF,26_optdigits,numerical,0.6406,5.0,5
RSIF,26_optdigits,numerical,0.4736,5.0,5
RSIF,26_optdigits,numerical,0.7041,5.0,5
RSIF,26_optdigits,numerical,0.5225,5.0,5
RSIF,26_optdigits,numerical,0.6387,5.0,5
RSIF,26_optdigits,numerical,0.4862,5.0,5
RSIF,26_optdigits,numerical,0.6239,5.0,5
RSIF,26_optdigits,numerical,0.6786,5.0,5
RSIF,26_optdigits,numerical,0.4772,5.0,5
RSIF,26_optdigits,numerical,0.5242,0.25,16
RSIF,26_optdigits,numerical,0.4777,0.25,16
RSIF,26_optdigits,numerical,0.4062,0.25,16
RSIF,26_optdigits,numerical,0.5439,0.25,16
RSIF,26_optdigits,numerical,0.4286,0.25,16
RSIF,26_optdigits,numerical,0.4781,0.25,16
RSIF,26_optdigits,numerical,0.5663,0.25,16
RSIF,26_optdigits,numerical,0.6319,0.25,16
RSIF,26_optdigits,numerical,0.5642,0.25,16
RSIF,26_optdigits,numerical,0.4924,0.25,16
RSIF,26_optdigits,numerical,0.3759,0.5,32
RSIF,26_optdigits,numerical,0.5405,0.5,32
RSIF,26_optdigits,numerical,0.4879,0.5,32
RSIF,26_optdigits,numerical,0.4376,0.5,32
RSIF,26_optdigits,numerical,0.3595,0.5,32
RSIF,26_optdigits,numerical,0.4583,0.5,32
RSIF,26_optdigits,numerical,0.5003,0.5,32
RSIF,26_optdigits,numerical,0.5141,0.5,32
RSIF,26_optdigits,numerical,0.4176,0.5,32
RSIF,26_optdigits,numerical,0.4085,0.5,32
RSIF,26_optdigits,numerical,0.5131,0.75,48
RSIF,26_optdigits,numerical,0.458,0.75,48
RSIF,26_optdigits,numerical,0.5796,0.75,48
RSIF,26_optdigits,numerical,0.5289,0.75,48
RSIF,26_optdigits,numerical,0.4626,0.75,48
RSIF,26_optdigits,numerical,0.6014,0.75,48
RSIF,26_optdigits,numerical,0.3663,0.75,48
RSIF,26_optdigits,numerical,0.4697,0.75,48
RSIF,26_optdigits,numerical,0.4853,0.75,48
RSIF,26_optdigits,numerical,0.4809,0.75,48
RSIF,26_optdigits,numerical,0.5526,1.0,64
RSIF,26_optdigits,numerical,0.4726,1.0,64
RSIF,26_optdigits,numerical,0.5997,1.0,64
RSIF,26_optdigits,numerical,0.5086,1.0,64
RSIF,26_optdigits,numerical,0.4905,1.0,64
RSIF,26_optdigits,numerical,0.5721,1.0,64
RSIF,26_optdigits,numerical,0.4353,1.0,64
RSIF,26_optdigits,numerical,0.4728,1.0,64
RSIF,26_optdigits,numerical,0.5095,1.0,64
RSIF,26_optdigits,numerical,0.4973,1.0,64
RSIF,TwoLeadECG,timeseries,0.8102,2.0,2
RSIF,TwoLeadECG,timeseries,0.6635,2.0,2
RSIF,TwoLeadECG,timeseries,0.6229,2.0,2
RSIF,TwoLeadECG,timeseries,0.7937,2.0,2
RSIF,TwoLeadECG,timeseries,0.6121,2.0,2
RSIF,TwoLeadECG,timeseries,0.8152,2.0,2
RSIF,TwoLeadECG,timeseries,0.706,2.0,2
RSIF,TwoLeadECG,timeseries,0.5638,2.0,2
RSIF,TwoLeadECG,timeseries,0.5467,2.0,2
RSIF,TwoLeadECG,timeseries,0.5803,2.0,2
RSIF,TwoLeadECG,timeseries,0.7956,3.0,3
RSIF,TwoLeadECG,timeseries,0.6895,3.0,3
RSIF,TwoLeadECG,timeseries,0.607,3.0,3
RSIF,TwoLeadECG,timeseries,0.7073,3.0,3
RSIF,TwoLeadECG,timeseries,0.626,3.0,3
RSIF,TwoLeadECG,timeseries,0.6876,3.0,3
RSIF,TwoLeadECG,timeseries,0.6171,3.0,3
RSIF,TwoLeadECG,timeseries,0.6317,3.0,3
RSIF,TwoLeadECG,timeseries,0.5365,3.0,3
RSIF,TwoLeadECG,timeseries,0.6292,3.0,3
RSIF,TwoLeadECG,timeseries,0.7765,5.0,5
RSIF,TwoLeadECG,timeseries,0.5968,5.0,5
RSIF,TwoLeadECG,timeseries,0.6406,5.0,5
RSIF,TwoLeadECG,timeseries,0.7111,5.0,5
RSIF,TwoLeadECG,timeseries,0.581,5.0,5
RSIF,TwoLeadECG,timeseries,0.7232,5.0,5
RSIF,TwoLeadECG,timeseries,0.6921,5.0,5
RSIF,TwoLeadECG,timeseries,0.6286,5.0,5
RSIF,TwoLeadECG,timeseries,0.6038,5.0,5
RSIF,TwoLeadECG,timeseries,0.619,5.0,5
RSIF,TwoLeadECG,timeseries,0.8305,0.25,20
RSIF,TwoLeadECG,timeseries,0.5537,0.25,20
RSIF,TwoLeadECG,timeseries,0.741,0.25,20
RSIF,TwoLeadECG,timeseries,0.7632,0.25,20
RSIF,TwoLeadECG,timeseries,0.619,0.25,20
RSIF,TwoLeadECG,timeseries,0.6775,0.25,20
RSIF,TwoLeadECG,timeseries,0.6927,0.25,20
RSIF,TwoLeadECG,timeseries,0.6768,0.25,20
RSIF,TwoLeadECG,timeseries,0.7016,0.25,20
RSIF,TwoLeadECG,timeseries,0.6686,0.25,20
RSIF,TwoLeadECG,timeseries,0.8527,0.5,41
RSIF,TwoLeadECG,timeseries,0.6114,0.5,41
RSIF,TwoLeadECG,timeseries,0.6838,0.5,41
RSIF,TwoLeadECG,timeseries,0.7644,0.5,41
RSIF,TwoLeadECG,timeseries,0.6686,0.5,41
RSIF,TwoLeadECG,timeseries,0.7644,0.5,41
RSIF,TwoLeadECG,timeseries,0.6997,0.5,41
RSIF,TwoLeadECG,timeseries,0.7505,0.5,41
RSIF,TwoLeadECG,timeseries,0.6908,0.5,41
RSIF,TwoLeadECG,timeseries,0.6781,0.5,41
RSIF,TwoLeadECG,timeseries,0.8762,0.75,61
RSIF,TwoLeadECG,timeseries,0.666,0.75,61
RSIF,TwoLeadECG,timeseries,0.7079,0.75,61
RSIF,TwoLeadECG,timeseries,0.7378,0.75,61
RSIF,TwoLeadECG,timeseries,0.6514,0.75,61
RSIF,TwoLeadECG,timeseries,0.7327,0.75,61
RSIF,TwoLeadECG,timeseries,0.7029,0.75,61
RSIF,TwoLeadECG,timeseries,0.7067,0.75,61
RSIF,TwoLeadECG,timeseries,0.687,0.75,61
RSIF,TwoLeadECG,timeseries,0.6775,0.75,61
RSIF,TwoLeadECG,timeseries,0.8495,1.0,82
RSIF,TwoLeadECG,timeseries,0.6133,1.0,82
RSIF,TwoLeadECG,timeseries,0.6914,1.0,82
RSIF,TwoLeadECG,timeseries,0.7321,1.0,82
RSIF,TwoLeadECG,timeseries,0.6254,1.0,82
RSIF,TwoLeadECG,timeseries,0.7225,1.0,82
RSIF,TwoLeadECG,timeseries,0.4997,1.0,82
RSIF,TwoLeadECG,timeseries,0.6997,1.0,82
RSIF,TwoLeadECG,timeseries,0.6902,1.0,82
RSIF,TwoLeadECG,timeseries,0.6356,1.0,82
RSIF,agnews_1,nlp,0.6978,2.0,2
RSIF,agnews_1,nlp,0.7151,2.0,2
RSIF,agnews_1,nlp,0.7043,2.0,2
RSIF,agnews_1,nlp,0.7546,2.0,2
RSIF,agnews_1,nlp,0.7202,2.0,2
RSIF,agnews_1,nlp,0.703,2.0,2
RSIF,agnews_1,nlp,0.7076,2.0,2
RSIF,agnews_1,nlp,0.7061,2.0,2
RSIF,agnews_1,nlp,0.6946,2.0,2
RSIF,agnews_1,nlp,0.697,2.0,2
RSIF,agnews_1,nlp,0.6612,3.0,3
RSIF,agnews_1,nlp,0.7429,3.0,3
RSIF,agnews_1,nlp,0.6633,3.0,3
RSIF,agnews_1,nlp,0.734,3.0,3
RSIF,agnews_1,nlp,0.7438,3.0,3
RSIF,agnews_1,nlp,0.6967,3.0,3
RSIF,agnews_1,nlp,0.693,3.0,3
RSIF,agnews_1,nlp,0.7434,3.0,3
RSIF,agnews_1,nlp,0.718,3.0,3
RSIF,agnews_1,nlp,0.6624,3.0,3
RSIF,agnews_1,nlp,0.7253,5.0,5
RSIF,agnews_1,nlp,0.7352,5.0,5
RSIF,agnews_1,nlp,0.6598,5.0,5
RSIF,agnews_1,nlp,0.6865,5.0,5
RSIF,agnews_1,nlp,0.7494,5.0,5
RSIF,agnews_1,nlp,0.6972,5.0,5
RSIF,agnews_1,nlp,0.691,5.0,5
RSIF,agnews_1,nlp,0.7424,5.0,5
RSIF,agnews_1,nlp,0.7054,5.0,5
RSIF,agnews_1,nlp,0.6702,5.0,5
RSIF,agnews_1,nlp,0.5982,0.25,192
RSIF,agnews_1,nlp,0.662,0.25,192
RSIF,agnews_1,nlp,0.6047,0.25,192
RSIF,agnews_1,nlp,0.6489,0.25,192
RSIF,agnews_1,nlp,0.6708,0.25,192
RSIF,agnews_1,nlp,0.6134,0.25,192
RSIF,agnews_1,nlp,0.664,0.25,192
RSIF,agnews_1,nlp,0.5975,0.25,192
RSIF,agnews_1,nlp,0.6624,0.25,192
RSIF,agnews_1,nlp,0.6013,0.25,192
RSIF,agnews_1,nlp,0.588,0.5,384
RSIF,agnews_1,nlp,0.656,0.5,384
RSIF,agnews_1,nlp,0.5828,0.5,384
RSIF,agnews_1,nlp,0.64,0.5,384
RSIF,agnews_1,nlp,0.6474,0.5,384
RSIF,agnews_1,nlp,0.5837,0.5,384
RSIF,agnews_1,nlp,0.6101,0.5,384
RSIF,agnews_1,nlp,0.5551,0.5,384
RSIF,agnews_1,nlp,0.6737,0.5,384
RSIF,agnews_1,nlp,0.6371,0.5,384
RSIF,agnews_1,nlp,0.5691,0.75,576
RSIF,agnews_1,nlp,0.6468,0.75,576
RSIF,agnews_1,nlp,0.6194,0.75,576
RSIF,agnews_1,nlp,0.6452,0.75,576
RSIF,agnews_1,nlp,0.6548,0.75,576
RSIF,agnews_1,nlp,0.5984,0.75,576
RSIF,agnews_1,nlp,0.6408,0.75,576
RSIF,agnews_1,nlp,0.608,0.75,576
RSIF,agnews_1,nlp,0.6138,0.75,576
RSIF,agnews_1,nlp,0.5777,0.75,576
RSIF,agnews_1,nlp,0.564,1.0,768
RSIF,agnews_1,nlp,0.6319,1.0,768
RSIF,agnews_1,nlp,0.6433,1.0,768
RSIF,agnews_1,nlp,0.6423,1.0,768
RSIF,agnews_1,nlp,0.6296,1.0,768
RSIF,agnews_1,nlp,0.5785,1.0,768
RSIF,agnews_1,nlp,0.6289,1.0,768
RSIF,agnews_1,nlp,0.5966,1.0,768
RSIF,agnews_1,nlp,0.6298,1.0,768
RSIF,agnews_1,nlp,0.5895,1.0,768
