clf,dataset_name,dataset_type,auc,cosine_projection-fixed,max_n
RSIF,21_Lymphography,numerical,0.9884,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9884,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,1.0,2.0,2
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9884,3.0,3
RSIF,21_Lymphography,numerical,1.0,3.0,3
RSIF,21_Lymphography,numerical,0.9884,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9302,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,1.0,5.0,5
RSIF,21_Lymphography,numerical,0.9535,5.0,5
RSIF,21_Lymphography,numerical,0.9186,5.0,5
RSIF,21_Lymphography,numerical,0.9651,5.0,5
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9302,0.25,4
RSIF,21_Lymphography,numerical,0.9767,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,1.0,0.25,4
RSIF,21_Lymphography,numerical,0.9302,0.25,4
RSIF,21_Lymphography,numerical,0.9767,0.5,9
RSIF,21_Lymphography,numerical,0.8256,0.5,9
RSIF,21_Lymphography,numerical,0.9767,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,1.0,0.5,9
RSIF,21_Lymphography,numerical,0.9884,0.5,9
RSIF,21_Lymphography,numerical,0.9186,0.5,9
RSIF,21_Lymphography,numerical,0.9767,0.75,13
RSIF,21_Lymphography,numerical,0.9186,0.75,13
RSIF,21_Lymphography,numerical,0.9651,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,0.9884,0.75,13
RSIF,21_Lymphography,numerical,1.0,0.75,13
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.8837,1.0,18
RSIF,21_Lymphography,numerical,0.9186,1.0,18
RSIF,21_Lymphography,numerical,0.9884,1.0,18
RSIF,21_Lymphography,numerical,0.9651,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,1.0,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.9767,1.0,18
RSIF,21_Lymphography,numerical,0.907,1.0,18
RSIF,36_speech,numerical,0.6062,2.0,2
RSIF,36_speech,numerical,0.3913,2.0,2
RSIF,36_speech,numerical,0.4926,2.0,2
RSIF,36_speech,numerical,0.5086,2.0,2
RSIF,36_speech,numerical,0.4532,2.0,2
RSIF,36_speech,numerical,0.4558,2.0,2
RSIF,36_speech,numerical,0.529,2.0,2
RSIF,36_speech,numerical,0.6092,2.0,2
RSIF,36_speech,numerical,0.3177,2.0,2
RSIF,36_speech,numerical,0.5451,2.0,2
RSIF,36_speech,numerical,0.5053,3.0,3
RSIF,36_speech,numerical,0.5533,3.0,3
RSIF,36_speech,numerical,0.5041,3.0,3
RSIF,36_speech,numerical,0.6082,3.0,3
RSIF,36_speech,numerical,0.5244,3.0,3
RSIF,36_speech,numerical,0.4612,3.0,3
RSIF,36_speech,numerical,0.5854,3.0,3
RSIF,36_speech,numerical,0.6081,3.0,3
RSIF,36_speech,numerical,0.3421,3.0,3
RSIF,36_speech,numerical,0.4523,3.0,3
RSIF,36_speech,numerical,0.6096,5.0,5
RSIF,36_speech,numerical,0.5057,5.0,5
RSIF,36_speech,numerical,0.4325,5.0,5
RSIF,36_speech,numerical,0.4796,5.0,5
RSIF,36_speech,numerical,0.5186,5.0,5
RSIF,36_speech,numerical,0.5321,5.0,5
RSIF,36_speech,numerical,0.5441,5.0,5
RSIF,36_speech,numerical,0.4726,5.0,5
RSIF,36_speech,numerical,0.4607,5.0,5
RSIF,36_speech,numerical,0.5345,5.0,5
RSIF,36_speech,numerical,0.5425,0.25,100
RSIF,36_speech,numerical,0.4372,0.25,100
RSIF,36_speech,numerical,0.4168,0.25,100
RSIF,36_speech,numerical,0.4793,0.25,100
RSIF,36_speech,numerical,0.425,0.25,100
RSIF,36_speech,numerical,0.5547,0.25,100
RSIF,36_speech,numerical,0.6463,0.25,100
RSIF,36_speech,numerical,0.4451,0.25,100
RSIF,36_speech,numerical,0.5576,0.25,100
RSIF,36_speech,numerical,0.4373,0.25,100
RSIF,36_speech,numerical,0.4266,0.5,200
RSIF,36_speech,numerical,0.4197,0.5,200
RSIF,36_speech,numerical,0.4572,0.5,200
RSIF,36_speech,numerical,0.629,0.5,200
RSIF,36_speech,numerical,0.4338,0.5,200
RSIF,36_speech,numerical,0.4657,0.5,200
RSIF,36_speech,numerical,0.5368,0.5,200
RSIF,36_speech,numerical,0.3729,0.5,200
RSIF,36_speech,numerical,0.5551,0.5,200
RSIF,36_speech,numerical,0.5112,0.5,200
RSIF,36_speech,numerical,0.474,0.75,300
RSIF,36_speech,numerical,0.4673,0.75,300
RSIF,36_speech,numerical,0.4487,0.75,300
RSIF,36_speech,numerical,0.3101,0.75,300
RSIF,36_speech,numerical,0.35,0.75,300
RSIF,36_speech,numerical,0.5511,0.75,300
RSIF,36_speech,numerical,0.3006,0.75,300
RSIF,36_speech,numerical,0.4263,0.75,300
RSIF,36_speech,numerical,0.5094,0.75,300
RSIF,36_speech,numerical,0.4489,0.75,300
RSIF,36_speech,numerical,0.5197,1.0,400
RSIF,36_speech,numerical,0.3818,1.0,400
RSIF,36_speech,numerical,0.4457,1.0,400
RSIF,36_speech,numerical,0.4492,1.0,400
RSIF,36_speech,numerical,0.6175,1.0,400
RSIF,36_speech,numerical,0.3688,1.0,400
RSIF,36_speech,numerical,0.4245,1.0,400
RSIF,36_speech,numerical,0.3677,1.0,400
RSIF,36_speech,numerical,0.4735,1.0,400
RSIF,36_speech,numerical,0.4163,1.0,400
RSIF,6_cardio,numerical,0.5245,2.0,2
RSIF,6_cardio,numerical,0.3602,2.0,2
RSIF,6_cardio,numerical,0.4579,2.0,2
RSIF,6_cardio,numerical,0.4049,2.0,2
RSIF,6_cardio,numerical,0.5166,2.0,2
RSIF,6_cardio,numerical,0.4695,2.0,2
RSIF,6_cardio,numerical,0.4804,2.0,2
RSIF,6_cardio,numerical,0.5098,2.0,2
RSIF,6_cardio,numerical,0.5156,2.0,2
RSIF,6_cardio,numerical,0.4575,2.0,2
RSIF,6_cardio,numerical,0.5748,3.0,3
RSIF,6_cardio,numerical,0.4081,3.0,3
RSIF,6_cardio,numerical,0.5499,3.0,3
RSIF,6_cardio,numerical,0.5066,3.0,3
RSIF,6_cardio,numerical,0.5167,3.0,3
RSIF,6_cardio,numerical,0.5304,3.0,3
RSIF,6_cardio,numerical,0.5679,3.0,3
RSIF,6_cardio,numerical,0.5332,3.0,3
RSIF,6_cardio,numerical,0.4786,3.0,3
RSIF,6_cardio,numerical,0.3932,3.0,3
RSIF,6_cardio,numerical,0.688,5.0,5
RSIF,6_cardio,numerical,0.5302,5.0,5
RSIF,6_cardio,numerical,0.7337,5.0,5
RSIF,6_cardio,numerical,0.6606,5.0,5
RSIF,6_cardio,numerical,0.6764,5.0,5
RSIF,6_cardio,numerical,0.5239,5.0,5
RSIF,6_cardio,numerical,0.5898,5.0,5
RSIF,6_cardio,numerical,0.763,5.0,5
RSIF,6_cardio,numerical,0.7911,5.0,5
RSIF,6_cardio,numerical,0.7016,5.0,5
RSIF,6_cardio,numerical,0.688,0.25,5
RSIF,6_cardio,numerical,0.5302,0.25,5
RSIF,6_cardio,numerical,0.7337,0.25,5
RSIF,6_cardio,numerical,0.6606,0.25,5
RSIF,6_cardio,numerical,0.6764,0.25,5
RSIF,6_cardio,numerical,0.5239,0.25,5
RSIF,6_cardio,numerical,0.5898,0.25,5
RSIF,6_cardio,numerical,0.763,0.25,5
RSIF,6_cardio,numerical,0.7911,0.25,5
RSIF,6_cardio,numerical,0.7016,0.25,5
RSIF,6_cardio,numerical,0.8891,0.5,10
RSIF,6_cardio,numerical,0.7905,0.5,10
RSIF,6_cardio,numerical,0.8194,0.5,10
RSIF,6_cardio,numerical,0.863,0.5,10
RSIF,6_cardio,numerical,0.7425,0.5,10
RSIF,6_cardio,numerical,0.798,0.5,10
RSIF,6_cardio,numerical,0.7576,0.5,10
RSIF,6_cardio,numerical,0.7696,0.5,10
RSIF,6_cardio,numerical,0.895,0.5,10
RSIF,6_cardio,numerical,0.7007,0.5,10
RSIF,6_cardio,numerical,0.8626,0.75,15
RSIF,6_cardio,numerical,0.9481,0.75,15
RSIF,6_cardio,numerical,0.876,0.75,15
RSIF,6_cardio,numerical,0.8235,0.75,15
RSIF,6_cardio,numerical,0.7882,0.75,15
RSIF,6_cardio,numerical,0.8125,0.75,15
RSIF,6_cardio,numerical,0.7858,0.75,15
RSIF,6_cardio,numerical,0.7328,0.75,15
RSIF,6_cardio,numerical,0.8503,0.75,15
RSIF,6_cardio,numerical,0.8533,0.75,15
RSIF,6_cardio,numerical,0.8701,1.0,21
RSIF,6_cardio,numerical,0.8735,1.0,21
RSIF,6_cardio,numerical,0.8544,1.0,21
RSIF,6_cardio,numerical,0.8394,1.0,21
RSIF,6_cardio,numerical,0.7739,1.0,21
RSIF,6_cardio,numerical,0.7099,1.0,21
RSIF,6_cardio,numerical,0.8432,1.0,21
RSIF,6_cardio,numerical,0.8733,1.0,21
RSIF,6_cardio,numerical,0.8281,1.0,21
RSIF,6_cardio,numerical,0.8051,1.0,21
RSIF,26_optdigits,numerical,0.7823,2.0,2
RSIF,26_optdigits,numerical,0.7608,2.0,2
RSIF,26_optdigits,numerical,0.7404,2.0,2
RSIF,26_optdigits,numerical,0.8533,2.0,2
RSIF,26_optdigits,numerical,0.8476,2.0,2
RSIF,26_optdigits,numerical,0.7685,2.0,2
RSIF,26_optdigits,numerical,0.8737,2.0,2
RSIF,26_optdigits,numerical,0.799,2.0,2
RSIF,26_optdigits,numerical,0.8866,2.0,2
RSIF,26_optdigits,numerical,0.7975,2.0,2
RSIF,26_optdigits,numerical,0.752,3.0,3
RSIF,26_optdigits,numerical,0.891,3.0,3
RSIF,26_optdigits,numerical,0.7662,3.0,3
RSIF,26_optdigits,numerical,0.8152,3.0,3
RSIF,26_optdigits,numerical,0.855,3.0,3
RSIF,26_optdigits,numerical,0.8426,3.0,3
RSIF,26_optdigits,numerical,0.814,3.0,3
RSIF,26_optdigits,numerical,0.8826,3.0,3
RSIF,26_optdigits,numerical,0.6613,3.0,3
RSIF,26_optdigits,numerical,0.7834,3.0,3
RSIF,26_optdigits,numerical,0.467,5.0,5
RSIF,26_optdigits,numerical,0.7106,5.0,5
RSIF,26_optdigits,numerical,0.671,5.0,5
RSIF,26_optdigits,numerical,0.7438,5.0,5
RSIF,26_optdigits,numerical,0.7536,5.0,5
RSIF,26_optdigits,numerical,0.7391,5.0,5
RSIF,26_optdigits,numerical,0.8587,5.0,5
RSIF,26_optdigits,numerical,0.4844,5.0,5
RSIF,26_optdigits,numerical,0.9223,5.0,5
RSIF,26_optdigits,numerical,0.8476,5.0,5
RSIF,26_optdigits,numerical,0.2192,0.25,16
RSIF,26_optdigits,numerical,0.3248,0.25,16
RSIF,26_optdigits,numerical,0.3327,0.25,16
RSIF,26_optdigits,numerical,0.4983,0.25,16
RSIF,26_optdigits,numerical,0.3848,0.25,16
RSIF,26_optdigits,numerical,0.5679,0.25,16
RSIF,26_optdigits,numerical,0.4957,0.25,16
RSIF,26_optdigits,numerical,0.3024,0.25,16
RSIF,26_optdigits,numerical,0.3321,0.25,16
RSIF,26_optdigits,numerical,0.5674,0.25,16
RSIF,26_optdigits,numerical,0.5465,0.5,32
RSIF,26_optdigits,numerical,0.4205,0.5,32
RSIF,26_optdigits,numerical,0.5039,0.5,32
RSIF,26_optdigits,numerical,0.4388,0.5,32
RSIF,26_optdigits,numerical,0.4382,0.5,32
RSIF,26_optdigits,numerical,0.4464,0.5,32
RSIF,26_optdigits,numerical,0.3171,0.5,32
RSIF,26_optdigits,numerical,0.5657,0.5,32
RSIF,26_optdigits,numerical,0.3271,0.5,32
RSIF,26_optdigits,numerical,0.3184,0.5,32
RSIF,26_optdigits,numerical,0.2634,0.75,48
RSIF,26_optdigits,numerical,0.4462,0.75,48
RSIF,26_optdigits,numerical,0.525,0.75,48
RSIF,26_optdigits,numerical,0.5307,0.75,48
RSIF,26_optdigits,numerical,0.4485,0.75,48
RSIF,26_optdigits,numerical,0.552,0.75,48
RSIF,26_optdigits,numerical,0.527,0.75,48
RSIF,26_optdigits,numerical,0.4098,0.75,48
RSIF,26_optdigits,numerical,0.3377,0.75,48
RSIF,26_optdigits,numerical,0.2908,0.75,48
RSIF,26_optdigits,numerical,0.4068,1.0,64
RSIF,26_optdigits,numerical,0.3886,1.0,64
RSIF,26_optdigits,numerical,0.4744,1.0,64
RSIF,26_optdigits,numerical,0.4788,1.0,64
RSIF,26_optdigits,numerical,0.5381,1.0,64
RSIF,26_optdigits,numerical,0.5558,1.0,64
RSIF,26_optdigits,numerical,0.5383,1.0,64
RSIF,26_optdigits,numerical,0.3349,1.0,64
RSIF,26_optdigits,numerical,0.4774,1.0,64
RSIF,26_optdigits,numerical,0.3229,1.0,64
RSIF,TwoLeadECG,timeseries,0.8368,2.0,2
RSIF,TwoLeadECG,timeseries,0.8133,2.0,2
RSIF,TwoLeadECG,timeseries,0.7352,2.0,2
RSIF,TwoLeadECG,timeseries,0.7943,2.0,2
RSIF,TwoLeadECG,timeseries,0.5816,2.0,2
RSIF,TwoLeadECG,timeseries,0.7816,2.0,2
RSIF,TwoLeadECG,timeseries,0.6584,2.0,2
RSIF,TwoLeadECG,timeseries,0.607,2.0,2
RSIF,TwoLeadECG,timeseries,0.6273,2.0,2
RSIF,TwoLeadECG,timeseries,0.6127,2.0,2
RSIF,TwoLeadECG,timeseries,0.7606,3.0,3
RSIF,TwoLeadECG,timeseries,0.7829,3.0,3
RSIF,TwoLeadECG,timeseries,0.6863,3.0,3
RSIF,TwoLeadECG,timeseries,0.7759,3.0,3
RSIF,TwoLeadECG,timeseries,0.5879,3.0,3
RSIF,TwoLeadECG,timeseries,0.7397,3.0,3
RSIF,TwoLeadECG,timeseries,0.6584,3.0,3
RSIF,TwoLeadECG,timeseries,0.586,3.0,3
RSIF,TwoLeadECG,timeseries,0.64,3.0,3
RSIF,TwoLeadECG,timeseries,0.5575,3.0,3
RSIF,TwoLeadECG,timeseries,0.7276,5.0,5
RSIF,TwoLeadECG,timeseries,0.6749,5.0,5
RSIF,TwoLeadECG,timeseries,0.6552,5.0,5
RSIF,TwoLeadECG,timeseries,0.7581,5.0,5
RSIF,TwoLeadECG,timeseries,0.6108,5.0,5
RSIF,TwoLeadECG,timeseries,0.7302,5.0,5
RSIF,TwoLeadECG,timeseries,0.5816,5.0,5
RSIF,TwoLeadECG,timeseries,0.607,5.0,5
RSIF,TwoLeadECG,timeseries,0.654,5.0,5
RSIF,TwoLeadECG,timeseries,0.553,5.0,5
RSIF,TwoLeadECG,timeseries,0.8571,0.25,20
RSIF,TwoLeadECG,timeseries,0.7168,0.25,20
RSIF,TwoLeadECG,timeseries,0.699,0.25,20
RSIF,TwoLeadECG,timeseries,0.8076,0.25,20
RSIF,TwoLeadECG,timeseries,0.6178,0.25,20
RSIF,TwoLeadECG,timeseries,0.7283,0.25,20
RSIF,TwoLeadECG,timeseries,0.6457,0.25,20
RSIF,TwoLeadECG,timeseries,0.6743,0.25,20
RSIF,TwoLeadECG,timeseries,0.706,0.25,20
RSIF,TwoLeadECG,timeseries,0.5879,0.25,20
RSIF,TwoLeadECG,timeseries,0.854,0.5,41
RSIF,TwoLeadECG,timeseries,0.8057,0.5,41
RSIF,TwoLeadECG,timeseries,0.7073,0.5,41
RSIF,TwoLeadECG,timeseries,0.7346,0.5,41
RSIF,TwoLeadECG,timeseries,0.6,0.5,41
RSIF,TwoLeadECG,timeseries,0.7771,0.5,41
RSIF,TwoLeadECG,timeseries,0.6781,0.5,41
RSIF,TwoLeadECG,timeseries,0.7213,0.5,41
RSIF,TwoLeadECG,timeseries,0.633,0.5,41
RSIF,TwoLeadECG,timeseries,0.5581,0.5,41
RSIF,TwoLeadECG,timeseries,0.8527,0.75,61
RSIF,TwoLeadECG,timeseries,0.72,0.75,61
RSIF,TwoLeadECG,timeseries,0.6768,0.75,61
RSIF,TwoLeadECG,timeseries,0.7556,0.75,61
RSIF,TwoLeadECG,timeseries,0.6451,0.75,61
RSIF,TwoLeadECG,timeseries,0.7517,0.75,61
RSIF,TwoLeadECG,timeseries,0.6635,0.75,61
RSIF,TwoLeadECG,timeseries,0.6806,0.75,61
RSIF,TwoLeadECG,timeseries,0.661,0.75,61
RSIF,TwoLeadECG,timeseries,0.5708,0.75,61
RSIF,TwoLeadECG,timeseries,0.8565,1.0,82
RSIF,TwoLeadECG,timeseries,0.7759,1.0,82
RSIF,TwoLeadECG,timeseries,0.6559,1.0,82
RSIF,TwoLeadECG,timeseries,0.7581,1.0,82
RSIF,TwoLeadECG,timeseries,0.6019,1.0,82
RSIF,TwoLeadECG,timeseries,0.7651,1.0,82
RSIF,TwoLeadECG,timeseries,0.6483,1.0,82
RSIF,TwoLeadECG,timeseries,0.699,1.0,82
RSIF,TwoLeadECG,timeseries,0.6686,1.0,82
RSIF,TwoLeadECG,timeseries,0.5556,1.0,82
RSIF,agnews_1,nlp,0.5747,2.0,2
RSIF,agnews_1,nlp,0.5836,2.0,2
RSIF,agnews_1,nlp,0.5219,2.0,2
RSIF,agnews_1,nlp,0.5444,2.0,2
RSIF,agnews_1,nlp,0.4755,2.0,2
RSIF,agnews_1,nlp,0.6476,2.0,2
RSIF,agnews_1,nlp,0.5274,2.0,2
RSIF,agnews_1,nlp,0.5372,2.0,2
RSIF,agnews_1,nlp,0.516,2.0,2
RSIF,agnews_1,nlp,0.4768,2.0,2
RSIF,agnews_1,nlp,0.5395,3.0,3
RSIF,agnews_1,nlp,0.61,3.0,3
RSIF,agnews_1,nlp,0.5734,3.0,3
RSIF,agnews_1,nlp,0.5252,3.0,3
RSIF,agnews_1,nlp,0.5198,3.0,3
RSIF,agnews_1,nlp,0.5574,3.0,3
RSIF,agnews_1,nlp,0.4622,3.0,3
RSIF,agnews_1,nlp,0.5655,3.0,3
RSIF,agnews_1,nlp,0.5429,3.0,3
RSIF,agnews_1,nlp,0.4506,3.0,3
RSIF,agnews_1,nlp,0.5996,5.0,5
RSIF,agnews_1,nlp,0.4469,5.0,5
RSIF,agnews_1,nlp,0.5468,5.0,5
RSIF,agnews_1,nlp,0.6039,5.0,5
RSIF,agnews_1,nlp,0.5326,5.0,5
RSIF,agnews_1,nlp,0.4695,5.0,5
RSIF,agnews_1,nlp,0.4853,5.0,5
RSIF,agnews_1,nlp,0.655,5.0,5
RSIF,agnews_1,nlp,0.5248,5.0,5
RSIF,agnews_1,nlp,0.5301,5.0,5
RSIF,agnews_1,nlp,0.3909,0.25,192
RSIF,agnews_1,nlp,0.397,0.25,192
RSIF,agnews_1,nlp,0.3868,0.25,192
RSIF,agnews_1,nlp,0.4624,0.25,192
RSIF,agnews_1,nlp,0.4369,0.25,192
RSIF,agnews_1,nlp,0.3965,0.25,192
RSIF,agnews_1,nlp,0.4336,0.25,192
RSIF,agnews_1,nlp,0.4318,0.25,192
RSIF,agnews_1,nlp,0.4528,0.25,192
RSIF,agnews_1,nlp,0.4138,0.25,192
RSIF,agnews_1,nlp,0.3856,0.5,384
RSIF,agnews_1,nlp,0.402,0.5,384
RSIF,agnews_1,nlp,0.3603,0.5,384
RSIF,agnews_1,nlp,0.4297,0.5,384
RSIF,agnews_1,nlp,0.4443,0.5,384
RSIF,agnews_1,nlp,0.3697,0.5,384
RSIF,agnews_1,nlp,0.4,0.5,384
RSIF,agnews_1,nlp,0.3917,0.5,384
RSIF,agnews_1,nlp,0.4252,0.5,384
RSIF,agnews_1,nlp,0.3927,0.5,384
RSIF,agnews_1,nlp,0.3781,0.75,576
RSIF,agnews_1,nlp,0.4145,0.75,576
RSIF,agnews_1,nlp,0.3461,0.75,576
RSIF,agnews_1,nlp,0.465,0.75,576
RSIF,agnews_1,nlp,0.438,0.75,576
RSIF,agnews_1,nlp,0.3691,0.75,576
RSIF,agnews_1,nlp,0.4331,0.75,576
RSIF,agnews_1,nlp,0.4069,0.75,576
RSIF,agnews_1,nlp,0.4151,0.75,576
RSIF,agnews_1,nlp,0.4011,0.75,576
RSIF,agnews_1,nlp,0.3656,1.0,768
RSIF,agnews_1,nlp,0.3734,1.0,768
RSIF,agnews_1,nlp,0.3438,1.0,768
RSIF,agnews_1,nlp,0.4231,1.0,768
RSIF,agnews_1,nlp,0.4367,1.0,768
RSIF,agnews_1,nlp,0.359,1.0,768
RSIF,agnews_1,nlp,0.4199,1.0,768
RSIF,agnews_1,nlp,0.3916,1.0,768
RSIF,agnews_1,nlp,0.4143,1.0,768
RSIF,agnews_1,nlp,0.4039,1.0,768
