clf,dataset_name,dataset_type,auc,n_estimators
RISF,21_Lymphography,numerical,0.5465,1
RISF,21_Lymphography,numerical,0.8547,1
RISF,21_Lymphography,numerical,0.9767,1
RISF,21_Lymphography,numerical,0.7558,1
RISF,21_Lymphography,numerical,0.5,1
RISF,21_Lymphography,numerical,0.9186,5
RISF,21_Lymphography,numerical,0.7093,5
RISF,21_Lymphography,numerical,0.9651,5
RISF,21_Lymphography,numerical,0.9709,5
RISF,21_Lymphography,numerical,0.843,5
RISF,21_Lymphography,numerical,0.9884,10
RISF,21_Lymphography,numerical,0.9651,10
RISF,21_Lymphography,numerical,0.8721,10
RISF,21_Lymphography,numerical,0.9767,10
RISF,21_Lymphography,numerical,0.9651,10
RISF,21_Lymphography,numerical,0.9884,25
RISF,21_Lymphography,numerical,0.9884,25
RISF,21_Lymphography,numerical,0.9884,25
RISF,21_Lymphography,numerical,1.0,25
RISF,21_Lymphography,numerical,1.0,25
RISF,21_Lymphography,numerical,0.9884,50
RISF,21_Lymphography,numerical,0.9651,50
RISF,21_Lymphography,numerical,0.9884,50
RISF,21_Lymphography,numerical,0.9884,50
RISF,21_Lymphography,numerical,1.0,50
RISF,21_Lymphography,numerical,1.0,100
RISF,21_Lymphography,numerical,0.9767,100
RISF,21_Lymphography,numerical,0.9884,100
RISF,21_Lymphography,numerical,0.9767,100
RISF,21_Lymphography,numerical,1.0,100
RISF,21_Lymphography,numerical,1.0,200
RISF,21_Lymphography,numerical,1.0,200
RISF,21_Lymphography,numerical,1.0,200
RISF,21_Lymphography,numerical,0.9767,200
RISF,21_Lymphography,numerical,1.0,200
RISF,21_Lymphography,numerical,1.0,300
RISF,21_Lymphography,numerical,1.0,300
RISF,21_Lymphography,numerical,1.0,300
RISF,21_Lymphography,numerical,0.9767,300
RISF,21_Lymphography,numerical,1.0,300
RISF,36_speech,numerical,0.5359,1
RISF,36_speech,numerical,0.4558,1
RISF,36_speech,numerical,0.4915,1
RISF,36_speech,numerical,0.4585,1
RISF,36_speech,numerical,0.5185,1
RISF,36_speech,numerical,0.4576,5
RISF,36_speech,numerical,0.4917,5
RISF,36_speech,numerical,0.4705,5
RISF,36_speech,numerical,0.5055,5
RISF,36_speech,numerical,0.4783,5
RISF,36_speech,numerical,0.4319,10
RISF,36_speech,numerical,0.5289,10
RISF,36_speech,numerical,0.4289,10
RISF,36_speech,numerical,0.4762,10
RISF,36_speech,numerical,0.4427,10
RISF,36_speech,numerical,0.4078,25
RISF,36_speech,numerical,0.4923,25
RISF,36_speech,numerical,0.4816,25
RISF,36_speech,numerical,0.4632,25
RISF,36_speech,numerical,0.3899,25
RISF,36_speech,numerical,0.3889,50
RISF,36_speech,numerical,0.5067,50
RISF,36_speech,numerical,0.441,50
RISF,36_speech,numerical,0.4679,50
RISF,36_speech,numerical,0.3749,50
RISF,36_speech,numerical,0.4199,100
RISF,36_speech,numerical,0.5093,100
RISF,36_speech,numerical,0.4649,100
RISF,36_speech,numerical,0.4294,100
RISF,36_speech,numerical,0.3862,100
RISF,36_speech,numerical,0.4319,200
RISF,36_speech,numerical,0.5053,200
RISF,36_speech,numerical,0.4004,200
RISF,36_speech,numerical,0.4252,200
RISF,36_speech,numerical,0.3694,200
RISF,36_speech,numerical,0.4561,300
RISF,36_speech,numerical,0.5126,300
RISF,36_speech,numerical,0.4049,300
RISF,36_speech,numerical,0.4355,300
RISF,36_speech,numerical,0.3568,300
RISF,6_cardio,numerical,0.5537,1
RISF,6_cardio,numerical,0.7594,1
RISF,6_cardio,numerical,0.6298,1
RISF,6_cardio,numerical,0.8001,1
RISF,6_cardio,numerical,0.6166,1
RISF,6_cardio,numerical,0.8539,5
RISF,6_cardio,numerical,0.8965,5
RISF,6_cardio,numerical,0.7892,5
RISF,6_cardio,numerical,0.7671,5
RISF,6_cardio,numerical,0.7889,5
RISF,6_cardio,numerical,0.8986,10
RISF,6_cardio,numerical,0.9273,10
RISF,6_cardio,numerical,0.8313,10
RISF,6_cardio,numerical,0.8771,10
RISF,6_cardio,numerical,0.8697,10
RISF,6_cardio,numerical,0.8918,25
RISF,6_cardio,numerical,0.9398,25
RISF,6_cardio,numerical,0.8703,25
RISF,6_cardio,numerical,0.9232,25
RISF,6_cardio,numerical,0.9221,25
RISF,6_cardio,numerical,0.8969,50
RISF,6_cardio,numerical,0.9486,50
RISF,6_cardio,numerical,0.9024,50
RISF,6_cardio,numerical,0.9127,50
RISF,6_cardio,numerical,0.9089,50
RISF,6_cardio,numerical,0.9182,100
RISF,6_cardio,numerical,0.9509,100
RISF,6_cardio,numerical,0.9165,100
RISF,6_cardio,numerical,0.9366,100
RISF,6_cardio,numerical,0.9394,100
RISF,6_cardio,numerical,0.9368,200
RISF,6_cardio,numerical,0.9317,200
RISF,6_cardio,numerical,0.9061,200
RISF,6_cardio,numerical,0.9441,200
RISF,6_cardio,numerical,0.943,200
RISF,6_cardio,numerical,0.9402,300
RISF,6_cardio,numerical,0.9287,300
RISF,6_cardio,numerical,0.9059,300
RISF,6_cardio,numerical,0.9338,300
RISF,6_cardio,numerical,0.944,300
RISF,26_optdigits,numerical,0.5,1
RISF,26_optdigits,numerical,0.5,1
RISF,26_optdigits,numerical,0.5,1
RISF,26_optdigits,numerical,0.5,1
RISF,26_optdigits,numerical,0.5,1
RISF,26_optdigits,numerical,0.5323,5
RISF,26_optdigits,numerical,0.7127,5
RISF,26_optdigits,numerical,0.7711,5
RISF,26_optdigits,numerical,0.673,5
RISF,26_optdigits,numerical,0.6348,5
RISF,26_optdigits,numerical,0.622,10
RISF,26_optdigits,numerical,0.5542,10
RISF,26_optdigits,numerical,0.509,10
RISF,26_optdigits,numerical,0.6492,10
RISF,26_optdigits,numerical,0.6732,10
RISF,26_optdigits,numerical,0.701,25
RISF,26_optdigits,numerical,0.7331,25
RISF,26_optdigits,numerical,0.6526,25
RISF,26_optdigits,numerical,0.7466,25
RISF,26_optdigits,numerical,0.6148,25
RISF,26_optdigits,numerical,0.6838,50
RISF,26_optdigits,numerical,0.7315,50
RISF,26_optdigits,numerical,0.6676,50
RISF,26_optdigits,numerical,0.8294,50
RISF,26_optdigits,numerical,0.6254,50
RISF,26_optdigits,numerical,0.8231,100
RISF,26_optdigits,numerical,0.7824,100
RISF,26_optdigits,numerical,0.7239,100
RISF,26_optdigits,numerical,0.8384,100
RISF,26_optdigits,numerical,0.7071,100
RISF,26_optdigits,numerical,0.7823,200
RISF,26_optdigits,numerical,0.7261,200
RISF,26_optdigits,numerical,0.6843,200
RISF,26_optdigits,numerical,0.8495,200
RISF,26_optdigits,numerical,0.6383,200
RISF,26_optdigits,numerical,0.7555,300
RISF,26_optdigits,numerical,0.7131,300
RISF,26_optdigits,numerical,0.7418,300
RISF,26_optdigits,numerical,0.8491,300
RISF,26_optdigits,numerical,0.6758,300
RISF,COX2,graph,0.4382,1
RISF,COX2,graph,0.3191,1
RISF,COX2,graph,0.2745,1
RISF,COX2,graph,0.7236,1
RISF,COX2,graph,0.5236,1
RISF,COX2,graph,0.5418,5
RISF,COX2,graph,0.3536,5
RISF,COX2,graph,0.5964,5
RISF,COX2,graph,0.58,5
RISF,COX2,graph,0.5082,5
RISF,COX2,graph,0.5473,10
RISF,COX2,graph,0.4345,10
RISF,COX2,graph,0.48,10
RISF,COX2,graph,0.5982,10
RISF,COX2,graph,0.3673,10
RISF,COX2,graph,0.5491,25
RISF,COX2,graph,0.3909,25
RISF,COX2,graph,0.5291,25
RISF,COX2,graph,0.5782,25
RISF,COX2,graph,0.4527,25
RISF,COX2,graph,0.6236,50
RISF,COX2,graph,0.4127,50
RISF,COX2,graph,0.5291,50
RISF,COX2,graph,0.6018,50
RISF,COX2,graph,0.48,50
RISF,COX2,graph,0.6291,100
RISF,COX2,graph,0.4636,100
RISF,COX2,graph,0.5836,100
RISF,COX2,graph,0.6327,100
RISF,COX2,graph,0.5782,100
RISF,COX2,graph,0.5745,200
RISF,COX2,graph,0.4291,200
RISF,COX2,graph,0.5273,200
RISF,COX2,graph,0.62,200
RISF,COX2,graph,0.5436,200
RISF,COX2,graph,0.5545,300
RISF,COX2,graph,0.4036,300
RISF,COX2,graph,0.5345,300
RISF,COX2,graph,0.6109,300
RISF,COX2,graph,0.5509,300
RISF,BZR,graph,0.5927,1
RISF,BZR,graph,0.7469,1
RISF,BZR,graph,0.7562,1
RISF,BZR,graph,0.7188,1
RISF,BZR,graph,0.4427,1
RISF,BZR,graph,0.5729,5
RISF,BZR,graph,0.8604,5
RISF,BZR,graph,0.6875,5
RISF,BZR,graph,0.8312,5
RISF,BZR,graph,0.7333,5
RISF,BZR,graph,0.6562,10
RISF,BZR,graph,0.8417,10
RISF,BZR,graph,0.7917,10
RISF,BZR,graph,0.6979,10
RISF,BZR,graph,0.8354,10
RISF,BZR,graph,0.6396,25
RISF,BZR,graph,0.8521,25
RISF,BZR,graph,0.8208,25
RISF,BZR,graph,0.8042,25
RISF,BZR,graph,0.8458,25
RISF,BZR,graph,0.6812,50
RISF,BZR,graph,0.825,50
RISF,BZR,graph,0.8208,50
RISF,BZR,graph,0.7833,50
RISF,BZR,graph,0.8604,50
RISF,BZR,graph,0.7458,100
RISF,BZR,graph,0.8167,100
RISF,BZR,graph,0.7958,100
RISF,BZR,graph,0.8479,100
RISF,BZR,graph,0.8792,100
RISF,BZR,graph,0.7708,200
RISF,BZR,graph,0.8,200
RISF,BZR,graph,0.775,200
RISF,BZR,graph,0.8938,200
RISF,BZR,graph,0.8354,200
RISF,BZR,graph,0.7562,300
RISF,BZR,graph,0.7313,300
RISF,BZR,graph,0.7833,300
RISF,BZR,graph,0.8938,300
RISF,BZR,graph,0.8354,300
RISF,DHFR,graph,0.48,1
RISF,DHFR,graph,0.3972,1
RISF,DHFR,graph,0.4337,1
RISF,DHFR,graph,0.389,1
RISF,DHFR,graph,0.3299,1
RISF,DHFR,graph,0.4949,5
RISF,DHFR,graph,0.4054,5
RISF,DHFR,graph,0.48,5
RISF,DHFR,graph,0.5206,5
RISF,DHFR,graph,0.1948,5
RISF,DHFR,graph,0.5349,10
RISF,DHFR,graph,0.3217,10
RISF,DHFR,graph,0.4424,10
RISF,DHFR,graph,0.5067,10
RISF,DHFR,graph,0.1465,10
RISF,DHFR,graph,0.5627,25
RISF,DHFR,graph,0.2729,25
RISF,DHFR,graph,0.3762,25
RISF,DHFR,graph,0.5375,25
RISF,DHFR,graph,0.1115,25
RISF,DHFR,graph,0.5473,50
RISF,DHFR,graph,0.2801,50
RISF,DHFR,graph,0.4018,50
RISF,DHFR,graph,0.5036,50
RISF,DHFR,graph,0.1331,50
RISF,DHFR,graph,0.5072,100
RISF,DHFR,graph,0.278,100
RISF,DHFR,graph,0.3823,100
RISF,DHFR,graph,0.5324,100
RISF,DHFR,graph,0.1547,100
RISF,DHFR,graph,0.5277,200
RISF,DHFR,graph,0.2513,200
RISF,DHFR,graph,0.3587,200
RISF,DHFR,graph,0.5211,200
RISF,DHFR,graph,0.1711,200
RISF,DHFR,graph,0.5041,300
RISF,DHFR,graph,0.2749,300
RISF,DHFR,graph,0.3566,300
RISF,DHFR,graph,0.5365,300
RISF,DHFR,graph,0.1721,300
RISF,ad_nominal,binary,0.5442,1
RISF,ad_nominal,binary,0.4746,1
RISF,ad_nominal,binary,0.5296,1
RISF,ad_nominal,binary,0.4739,1
RISF,ad_nominal,binary,0.6281,1
RISF,ad_nominal,binary,0.7702,5
RISF,ad_nominal,binary,0.581,5
RISF,ad_nominal,binary,0.5717,5
RISF,ad_nominal,binary,0.5448,5
RISF,ad_nominal,binary,0.5666,5
RISF,ad_nominal,binary,0.7244,10
RISF,ad_nominal,binary,0.603,10
RISF,ad_nominal,binary,0.6625,10
RISF,ad_nominal,binary,0.5329,10
RISF,ad_nominal,binary,0.6132,10
RISF,ad_nominal,binary,0.7637,25
RISF,ad_nominal,binary,0.6679,25
RISF,ad_nominal,binary,0.7136,25
RISF,ad_nominal,binary,0.652,25
RISF,ad_nominal,binary,0.649,25
RISF,ad_nominal,binary,0.7648,50
RISF,ad_nominal,binary,0.6898,50
RISF,ad_nominal,binary,0.7077,50
RISF,ad_nominal,binary,0.6656,50
RISF,ad_nominal,binary,0.6778,50
RISF,ad_nominal,binary,0.7599,100
RISF,ad_nominal,binary,0.6843,100
RISF,ad_nominal,binary,0.725,100
RISF,ad_nominal,binary,0.6511,100
RISF,ad_nominal,binary,0.6993,100
RISF,ad_nominal,binary,0.7364,200
RISF,ad_nominal,binary,0.6908,200
RISF,ad_nominal,binary,0.7392,200
RISF,ad_nominal,binary,0.6775,200
RISF,ad_nominal,binary,0.6977,200
RISF,ad_nominal,binary,0.7384,300
RISF,ad_nominal,binary,0.6954,300
RISF,ad_nominal,binary,0.7327,300
RISF,ad_nominal,binary,0.6778,300
RISF,ad_nominal,binary,0.712,300
RISF,TwoLeadECG,timeseries,0.7594,1
RISF,TwoLeadECG,timeseries,0.5578,1
RISF,TwoLeadECG,timeseries,0.62,1
RISF,TwoLeadECG,timeseries,0.7346,1
RISF,TwoLeadECG,timeseries,0.5171,1
RISF,TwoLeadECG,timeseries,0.7638,5
RISF,TwoLeadECG,timeseries,0.6032,5
RISF,TwoLeadECG,timeseries,0.5124,5
RISF,TwoLeadECG,timeseries,0.8489,5
RISF,TwoLeadECG,timeseries,0.661,5
RISF,TwoLeadECG,timeseries,0.9003,10
RISF,TwoLeadECG,timeseries,0.5549,10
RISF,TwoLeadECG,timeseries,0.4997,10
RISF,TwoLeadECG,timeseries,0.786,10
RISF,TwoLeadECG,timeseries,0.5962,10
RISF,TwoLeadECG,timeseries,0.8717,25
RISF,TwoLeadECG,timeseries,0.779,25
RISF,TwoLeadECG,timeseries,0.5879,25
RISF,TwoLeadECG,timeseries,0.8006,25
RISF,TwoLeadECG,timeseries,0.6533,25
RISF,TwoLeadECG,timeseries,0.8394,50
RISF,TwoLeadECG,timeseries,0.8051,50
RISF,TwoLeadECG,timeseries,0.6165,50
RISF,TwoLeadECG,timeseries,0.779,50
RISF,TwoLeadECG,timeseries,0.6502,50
RISF,TwoLeadECG,timeseries,0.8673,100
RISF,TwoLeadECG,timeseries,0.8121,100
RISF,TwoLeadECG,timeseries,0.6971,100
RISF,TwoLeadECG,timeseries,0.774,100
RISF,TwoLeadECG,timeseries,0.6565,100
RISF,TwoLeadECG,timeseries,0.8711,200
RISF,TwoLeadECG,timeseries,0.8241,200
RISF,TwoLeadECG,timeseries,0.7098,200
RISF,TwoLeadECG,timeseries,0.8044,200
RISF,TwoLeadECG,timeseries,0.6635,200
RISF,TwoLeadECG,timeseries,0.8679,300
RISF,TwoLeadECG,timeseries,0.8114,300
RISF,TwoLeadECG,timeseries,0.6978,300
RISF,TwoLeadECG,timeseries,0.8184,300
RISF,TwoLeadECG,timeseries,0.6838,300
RISF,agnews_1,nlp,0.5072,1
RISF,agnews_1,nlp,0.5079,1
RISF,agnews_1,nlp,0.4212,1
RISF,agnews_1,nlp,0.5623,1
RISF,agnews_1,nlp,0.4837,1
RISF,agnews_1,nlp,0.6501,5
RISF,agnews_1,nlp,0.5623,5
RISF,agnews_1,nlp,0.5248,5
RISF,agnews_1,nlp,0.6559,5
RISF,agnews_1,nlp,0.5722,5
RISF,agnews_1,nlp,0.6616,10
RISF,agnews_1,nlp,0.5825,10
RISF,agnews_1,nlp,0.6399,10
RISF,agnews_1,nlp,0.6307,10
RISF,agnews_1,nlp,0.5903,10
RISF,agnews_1,nlp,0.6722,25
RISF,agnews_1,nlp,0.6223,25
RISF,agnews_1,nlp,0.6812,25
RISF,agnews_1,nlp,0.7211,25
RISF,agnews_1,nlp,0.6541,25
RISF,agnews_1,nlp,0.6454,50
RISF,agnews_1,nlp,0.6769,50
RISF,agnews_1,nlp,0.6929,50
RISF,agnews_1,nlp,0.7222,50
RISF,agnews_1,nlp,0.6957,50
RISF,agnews_1,nlp,0.6845,100
RISF,agnews_1,nlp,0.7044,100
RISF,agnews_1,nlp,0.7254,100
RISF,agnews_1,nlp,0.7522,100
RISF,agnews_1,nlp,0.7319,100
RISF,agnews_1,nlp,0.6627,200
RISF,agnews_1,nlp,0.7099,200
RISF,agnews_1,nlp,0.7249,200
RISF,agnews_1,nlp,0.7829,200
RISF,agnews_1,nlp,0.7215,200
RISF,agnews_1,nlp,0.6791,300
RISF,agnews_1,nlp,0.7191,300
RISF,agnews_1,nlp,0.7378,300
RISF,agnews_1,nlp,0.79,300
RISF,agnews_1,nlp,0.7335,300
IForest,21_Lymphography,numerical,0.9651,1
IForest,21_Lymphography,numerical,0.9651,1
IForest,21_Lymphography,numerical,0.7151,1
IForest,21_Lymphography,numerical,0.8721,1
IForest,21_Lymphography,numerical,0.7965,1
IForest,21_Lymphography,numerical,1.0,5
IForest,21_Lymphography,numerical,1.0,5
IForest,21_Lymphography,numerical,0.9884,5
IForest,21_Lymphography,numerical,1.0,5
IForest,21_Lymphography,numerical,1.0,5
IForest,21_Lymphography,numerical,1.0,10
IForest,21_Lymphography,numerical,1.0,10
IForest,21_Lymphography,numerical,0.9884,10
